'EPIC Ga.PID.wOP Log File

'Date,Ga.PID.wOP
08/06/2023 00:00:01.275,6.000
08/06/2023 00:00:02.283,6.000
08/06/2023 00:00:03.290,6.000
08/06/2023 00:00:04.309,6.000
08/06/2023 00:00:05.319,6.000
08/06/2023 00:00:06.328,5.900
08/06/2023 00:00:07.338,6.000
08/06/2023 00:00:08.350,5.900
08/06/2023 00:00:09.369,6.000
08/06/2023 00:00:10.388,5.900
08/06/2023 00:00:11.406,6.000
08/06/2023 00:00:12.434,6.000
08/06/2023 00:00:13.453,6.000
08/06/2023 00:00:14.471,6.000
08/06/2023 00:00:15.492,5.900
08/06/2023 00:00:16.501,6.000
08/06/2023 00:00:17.513,6.100
08/06/2023 00:00:18.549,6.000
08/06/2023 00:00:19.566,6.000
08/06/2023 00:00:20.585,6.000
08/06/2023 00:00:21.604,6.000
08/06/2023 00:00:22.613,6.000
08/06/2023 00:00:23.636,6.000
08/06/2023 00:00:24.665,6.000
08/06/2023 00:00:25.680,6.000
08/06/2023 00:00:26.689,6.000
08/06/2023 00:00:27.697,5.900
08/06/2023 00:00:28.706,6.100
08/06/2023 00:00:29.714,6.000
08/06/2023 00:00:30.725,6.000
08/06/2023 00:00:31.738,6.000
08/06/2023 00:00:32.747,5.900
08/06/2023 00:00:33.757,6.000
08/06/2023 00:00:34.779,5.900
08/06/2023 00:00:35.786,6.000
08/06/2023 00:00:36.807,6.000
08/06/2023 00:00:37.826,6.000
08/06/2023 00:00:38.832,6.000
08/06/2023 00:00:39.841,6.000
08/06/2023 00:00:40.853,6.000
08/06/2023 00:00:41.870,6.000
08/06/2023 00:00:42.891,6.000
08/06/2023 00:00:43.902,5.900
08/06/2023 00:00:44.908,6.000
08/06/2023 00:00:45.929,6.000
08/06/2023 00:00:46.947,6.000
08/06/2023 00:00:47.967,5.900
08/06/2023 00:00:48.980,6.000
08/06/2023 00:00:49.993,6.000
08/06/2023 00:00:51.026,6.000
08/06/2023 00:00:52.042,6.000
08/06/2023 00:00:53.058,6.000
08/06/2023 00:00:54.071,6.000
08/06/2023 00:00:55.083,6.000
08/06/2023 00:00:56.096,6.000
08/06/2023 00:00:57.104,6.000
08/06/2023 00:00:58.111,6.000
08/06/2023 00:00:59.119,6.000
08/06/2023 00:01:00.141,6.000
08/06/2023 00:01:01.155,6.000
08/06/2023 00:01:02.183,6.000
08/06/2023 00:01:03.196,6.000
08/06/2023 00:01:04.207,6.000
08/06/2023 00:01:05.216,6.000
08/06/2023 00:01:06.226,6.000
08/06/2023 00:01:07.236,6.100
08/06/2023 00:01:08.256,6.000
08/06/2023 00:01:09.273,5.900
08/06/2023 00:01:10.284,6.000
08/06/2023 00:01:11.290,6.000
08/06/2023 00:01:12.301,6.000
08/06/2023 00:01:13.322,6.000
08/06/2023 00:01:14.329,6.000
08/06/2023 00:01:15.348,6.000
08/06/2023 00:01:16.357,6.000
08/06/2023 00:01:17.381,6.000
08/06/2023 00:01:18.399,6.000
08/06/2023 00:01:19.407,6.100
08/06/2023 00:01:20.418,6.000
08/06/2023 00:01:21.427,5.900
08/06/2023 00:01:22.440,6.000
08/06/2023 00:01:23.451,6.000
08/06/2023 00:01:24.458,6.000
08/06/2023 00:01:25.468,6.000
08/06/2023 00:01:26.479,6.000
08/06/2023 00:01:27.494,5.900
08/06/2023 00:01:28.512,6.000
08/06/2023 00:01:29.530,6.000
08/06/2023 00:01:30.556,6.000
08/06/2023 00:01:31.573,6.000
08/06/2023 00:01:32.580,6.000
08/06/2023 00:01:33.590,6.000
08/06/2023 00:01:34.597,6.000
08/06/2023 00:01:35.605,6.000
08/06/2023 00:01:36.615,6.000
08/06/2023 00:01:37.623,6.000
08/06/2023 00:01:38.643,6.100
08/06/2023 00:01:39.650,6.100
08/06/2023 00:01:40.661,6.000
08/06/2023 00:01:41.677,6.000
08/06/2023 00:01:42.686,6.100
08/06/2023 00:01:43.707,6.000
08/06/2023 00:01:44.732,6.000
08/06/2023 00:01:45.749,6.000
08/06/2023 00:01:46.770,6.000
08/06/2023 00:01:47.791,6.100
08/06/2023 00:01:48.801,6.100
08/06/2023 00:01:49.808,6.100
08/06/2023 00:01:50.827,6.100
08/06/2023 00:01:51.836,6.000
08/06/2023 00:01:52.859,6.000
08/06/2023 00:01:53.871,6.000
08/06/2023 00:01:54.880,6.100
08/06/2023 00:01:55.889,6.000
08/06/2023 00:01:56.897,6.000
08/06/2023 00:01:57.911,6.100
08/06/2023 00:01:58.919,6.000
08/06/2023 00:01:59.927,6.000
08/06/2023 00:02:00.940,6.100
08/06/2023 00:02:01.953,6.000
08/06/2023 00:02:02.964,6.000
08/06/2023 00:02:03.973,6.000
08/06/2023 00:02:04.983,6.000
08/06/2023 00:02:05.991,5.900
08/06/2023 00:02:07.004,6.100
08/06/2023 00:02:08.013,6.000
08/06/2023 00:02:09.022,6.000
08/06/2023 00:02:10.057,6.000
08/06/2023 00:02:11.068,6.000
08/06/2023 00:02:12.079,6.000
08/06/2023 00:02:13.087,6.000
08/06/2023 00:02:14.096,6.000
08/06/2023 00:02:15.119,6.000
08/06/2023 00:02:16.130,6.000
08/06/2023 00:02:17.139,6.000
08/06/2023 00:02:18.150,5.900
08/06/2023 00:02:19.157,6.000
08/06/2023 00:02:20.167,6.000
08/06/2023 00:02:21.188,6.000
08/06/2023 00:02:22.200,6.000
08/06/2023 00:02:23.219,6.000
08/06/2023 00:02:24.238,6.000
08/06/2023 00:02:25.259,6.000
08/06/2023 00:02:26.267,6.000
08/06/2023 00:02:27.286,6.000
08/06/2023 00:02:28.299,6.000
08/06/2023 00:02:29.321,6.100
08/06/2023 00:02:30.332,6.000
08/06/2023 00:02:31.341,6.000
08/06/2023 00:02:32.349,6.100
08/06/2023 00:02:33.371,6.000
08/06/2023 00:02:34.380,6.000
08/06/2023 00:02:35.392,6.100
08/06/2023 00:02:36.399,6.100
08/06/2023 00:02:37.408,6.000
08/06/2023 00:02:38.413,6.200
08/06/2023 00:02:39.425,6.000
08/06/2023 00:02:40.434,6.000
08/06/2023 00:02:41.459,6.100
08/06/2023 00:02:42.481,6.000
08/06/2023 00:02:43.500,6.000
08/06/2023 00:02:44.509,6.000
08/06/2023 00:02:45.515,6.000
08/06/2023 00:02:46.534,6.100
08/06/2023 00:02:47.556,6.000
08/06/2023 00:02:48.565,6.000
08/06/2023 00:02:49.574,6.000
08/06/2023 00:02:50.581,6.000
08/06/2023 00:02:51.592,6.000
08/06/2023 00:02:52.604,5.900
08/06/2023 00:02:53.630,6.000
08/06/2023 00:02:54.639,6.000
08/06/2023 00:02:55.649,6.000
08/06/2023 00:02:56.671,6.000
08/06/2023 00:02:57.681,6.000
08/06/2023 00:02:58.691,6.000
08/06/2023 00:02:59.713,5.900
08/06/2023 00:03:00.721,5.900
08/06/2023 00:03:01.744,5.900
08/06/2023 00:03:02.764,6.000
08/06/2023 00:03:03.773,5.900
08/06/2023 00:03:04.794,6.000
08/06/2023 00:03:05.803,6.000
08/06/2023 00:03:06.815,6.000
08/06/2023 00:03:07.827,6.000
08/06/2023 00:03:08.847,6.000
08/06/2023 00:03:09.871,6.000
08/06/2023 00:03:10.894,5.900
08/06/2023 00:03:11.906,6.000
08/06/2023 00:03:12.922,5.900
08/06/2023 00:03:13.936,6.000
08/06/2023 00:03:14.947,6.000
08/06/2023 00:03:15.969,6.000
08/06/2023 00:03:16.982,6.000
08/06/2023 00:03:18.002,6.000
08/06/2023 00:03:19.020,6.000
08/06/2023 00:03:20.043,6.000
08/06/2023 00:03:21.066,6.000
08/06/2023 00:03:22.080,6.100
08/06/2023 00:03:23.090,6.000
08/06/2023 00:03:24.112,6.100
08/06/2023 00:03:25.124,6.100
08/06/2023 00:03:26.144,6.000
08/06/2023 00:03:27.153,6.100
08/06/2023 00:03:28.173,6.000
08/06/2023 00:03:29.187,6.100
08/06/2023 00:03:30.208,6.100
08/06/2023 00:03:31.220,6.100
08/06/2023 00:03:32.243,6.000
08/06/2023 00:03:33.264,6.100
08/06/2023 00:03:34.276,6.100
08/06/2023 00:03:35.288,6.000
08/06/2023 00:03:36.303,6.100
08/06/2023 00:03:37.315,6.000
08/06/2023 00:03:38.340,6.000
08/06/2023 00:03:39.354,6.000
08/06/2023 00:03:40.383,5.900
08/06/2023 00:03:41.399,6.000
08/06/2023 00:03:42.429,6.000
08/06/2023 00:03:43.454,5.900
08/06/2023 00:03:44.470,6.000
08/06/2023 00:03:45.495,6.000
08/06/2023 00:03:46.517,5.900
08/06/2023 00:03:47.543,5.900
08/06/2023 00:03:48.555,5.900
08/06/2023 00:03:49.580,5.900
08/06/2023 00:03:50.589,5.900
08/06/2023 00:03:51.617,5.900
08/06/2023 00:03:52.641,6.000
08/06/2023 00:03:53.662,5.900
08/06/2023 00:03:54.685,6.000
08/06/2023 00:03:55.708,5.900
08/06/2023 00:03:56.717,6.000
08/06/2023 00:03:57.728,5.900
08/06/2023 00:03:58.737,5.900
08/06/2023 00:03:59.746,6.000
08/06/2023 00:04:00.770,6.000
08/06/2023 00:04:01.788,6.000
08/06/2023 00:04:02.802,6.000
08/06/2023 00:04:03.822,5.900
08/06/2023 00:04:04.845,6.000
08/06/2023 00:04:05.868,6.000
08/06/2023 00:04:06.878,6.000
08/06/2023 00:04:07.902,6.100
08/06/2023 00:04:08.911,6.000
08/06/2023 00:04:09.932,6.100
08/06/2023 00:04:10.941,6.100
08/06/2023 00:04:11.962,6.000
08/06/2023 00:04:12.974,6.100
08/06/2023 00:04:13.983,6.100
08/06/2023 00:04:14.993,6.000
08/06/2023 00:04:16.001,6.000
08/06/2023 00:04:17.009,6.000
08/06/2023 00:04:18.033,6.100
08/06/2023 00:04:19.041,6.000
08/06/2023 00:04:20.065,6.000
08/06/2023 00:04:21.079,6.000
08/06/2023 00:04:22.102,6.000
08/06/2023 00:04:23.118,6.000
08/06/2023 00:04:24.141,6.000
08/06/2023 00:04:25.172,6.000
08/06/2023 00:04:26.199,6.000
08/06/2023 00:04:27.223,6.000
08/06/2023 00:04:28.234,6.000
08/06/2023 00:04:29.256,6.000
08/06/2023 00:04:30.266,6.000
08/06/2023 00:04:31.275,6.000
08/06/2023 00:04:32.302,6.000
08/06/2023 00:04:33.311,6.000
08/06/2023 00:04:34.326,6.000
08/06/2023 00:04:35.341,6.000
08/06/2023 00:04:36.358,6.000
08/06/2023 00:04:37.376,6.000
08/06/2023 00:04:38.397,6.000
08/06/2023 00:04:39.409,6.000
08/06/2023 00:04:40.425,6.000
08/06/2023 00:04:41.448,6.000
08/06/2023 00:04:42.472,6.000
08/06/2023 00:04:43.492,6.000
08/06/2023 00:04:44.516,6.000
08/06/2023 00:04:45.525,6.100
08/06/2023 00:04:46.538,6.000
08/06/2023 00:04:47.567,6.000
08/06/2023 00:04:48.584,6.000
08/06/2023 00:04:49.597,6.000
08/06/2023 00:04:50.615,6.000
08/06/2023 00:04:51.631,6.000
08/06/2023 00:04:52.662,6.100
08/06/2023 00:04:53.674,6.100
08/06/2023 00:04:54.692,6.000
08/06/2023 00:04:55.702,6.000
08/06/2023 00:04:56.725,6.000
08/06/2023 00:04:57.748,5.900
08/06/2023 00:04:58.757,6.100
08/06/2023 00:04:59.772,6.000
08/06/2023 00:05:00.785,6.000
08/06/2023 00:05:01.810,6.000
08/06/2023 00:05:02.834,6.000
08/06/2023 00:05:03.857,6.000
08/06/2023 00:05:04.868,6.000
08/06/2023 00:05:05.880,6.000
08/06/2023 00:05:06.905,6.100
08/06/2023 00:05:07.917,6.000
08/06/2023 00:05:08.936,6.100
08/06/2023 00:05:09.958,6.000
08/06/2023 00:05:10.982,6.000
08/06/2023 00:05:12.007,6.100
08/06/2023 00:05:13.015,6.100
08/06/2023 00:05:14.026,6.000
08/06/2023 00:05:15.050,6.100
08/06/2023 00:05:16.074,6.000
08/06/2023 00:05:17.083,6.000
08/06/2023 00:05:18.108,6.000
08/06/2023 00:05:19.117,6.000
08/06/2023 00:05:20.136,6.000
08/06/2023 00:05:21.150,6.000
08/06/2023 00:05:22.163,6.000
08/06/2023 00:05:23.179,6.100
08/06/2023 00:05:24.197,6.000
08/06/2023 00:05:25.218,6.000
08/06/2023 00:05:26.243,6.100
08/06/2023 00:05:27.263,6.000
08/06/2023 00:05:28.276,6.000
08/06/2023 00:05:29.289,6.000
08/06/2023 00:05:30.300,6.000
08/06/2023 00:05:31.315,6.000
08/06/2023 00:05:32.328,5.900
08/06/2023 00:05:33.348,6.000
08/06/2023 00:05:34.383,6.000
08/06/2023 00:05:35.396,6.000
08/06/2023 00:05:36.411,6.000
08/06/2023 00:05:37.430,6.000
08/06/2023 00:05:38.442,6.000
08/06/2023 00:05:39.454,6.000
08/06/2023 00:05:40.463,6.000
08/06/2023 00:05:41.476,6.000
08/06/2023 00:05:42.514,6.000
08/06/2023 00:05:43.526,6.000
08/06/2023 00:05:44.550,6.000
08/06/2023 00:05:45.560,6.000
08/06/2023 00:05:46.586,6.000
08/06/2023 00:05:47.608,6.000
08/06/2023 00:05:48.618,6.000
08/06/2023 00:05:49.637,5.900
08/06/2023 00:05:50.647,6.000
08/06/2023 00:05:51.666,6.000
08/06/2023 00:05:52.675,6.000
08/06/2023 00:05:53.684,6.000
08/06/2023 00:05:54.694,6.000
08/06/2023 00:05:55.721,6.000
08/06/2023 00:05:56.747,6.000
08/06/2023 00:05:57.763,6.000
08/06/2023 00:05:58.772,6.100
08/06/2023 00:05:59.796,6.000
08/06/2023 00:06:00.812,6.000
08/06/2023 00:06:01.824,6.000
08/06/2023 00:06:02.833,6.000
08/06/2023 00:06:03.870,6.000
08/06/2023 00:06:04.892,6.000
08/06/2023 00:06:05.916,6.000
08/06/2023 00:06:06.942,6.000
08/06/2023 00:06:07.963,6.000
08/06/2023 00:06:08.977,6.100
08/06/2023 00:06:09.992,6.100
08/06/2023 00:06:11.016,6.000
08/06/2023 00:06:12.029,6.100
08/06/2023 00:06:13.052,6.100
08/06/2023 00:06:14.062,6.000
08/06/2023 00:06:15.080,6.000
08/06/2023 00:06:16.100,6.000
08/06/2023 00:06:17.110,6.000
08/06/2023 00:06:18.131,6.000
08/06/2023 00:06:19.153,6.100
08/06/2023 00:06:20.173,5.900
08/06/2023 00:06:21.185,6.000
08/06/2023 00:06:22.215,6.000
08/06/2023 00:06:23.225,6.000
08/06/2023 00:06:24.248,6.000
08/06/2023 00:06:25.276,6.000
08/06/2023 00:06:26.295,6.000
08/06/2023 00:06:27.305,6.000
08/06/2023 00:06:28.330,6.000
08/06/2023 00:06:29.354,6.000
08/06/2023 00:06:30.382,5.900
08/06/2023 00:06:31.407,6.000
08/06/2023 00:06:32.430,5.900
08/06/2023 00:06:33.451,6.000
08/06/2023 00:06:34.473,6.100
08/06/2023 00:06:35.484,6.000
08/06/2023 00:06:36.495,6.000
08/06/2023 00:06:37.509,6.000
08/06/2023 00:06:38.520,6.100
