'EPIC GaHL.PID.wOP Log File

'Date,GaHL.PID.wOP
08/06/2023 00:00:01.275,9.500
08/06/2023 00:00:02.283,9.500
08/06/2023 00:00:03.290,9.500
08/06/2023 00:00:04.309,9.500
08/06/2023 00:00:05.320,9.500
08/06/2023 00:00:06.328,9.500
08/06/2023 00:00:07.339,9.500
08/06/2023 00:00:08.350,9.500
08/06/2023 00:00:09.369,9.500
08/06/2023 00:00:10.388,9.500
08/06/2023 00:00:11.406,9.500
08/06/2023 00:00:12.434,9.500
08/06/2023 00:00:13.454,9.500
08/06/2023 00:00:14.472,9.500
08/06/2023 00:00:15.492,9.500
08/06/2023 00:00:16.501,9.500
08/06/2023 00:00:17.513,9.500
08/06/2023 00:00:18.549,9.500
08/06/2023 00:00:19.566,9.500
08/06/2023 00:00:20.585,9.500
08/06/2023 00:00:21.604,9.500
08/06/2023 00:00:22.613,9.500
08/06/2023 00:00:23.636,9.500
08/06/2023 00:00:24.665,9.500
08/06/2023 00:00:25.680,9.500
08/06/2023 00:00:26.689,9.500
08/06/2023 00:00:27.697,9.500
08/06/2023 00:00:28.706,9.500
08/06/2023 00:00:29.714,9.500
08/06/2023 00:00:30.725,9.500
08/06/2023 00:00:31.739,9.500
08/06/2023 00:00:32.747,9.500
08/06/2023 00:00:33.758,9.500
08/06/2023 00:00:34.779,9.500
08/06/2023 00:00:35.787,9.500
08/06/2023 00:00:36.807,9.500
08/06/2023 00:00:37.827,9.500
08/06/2023 00:00:38.832,9.500
08/06/2023 00:00:39.841,9.500
08/06/2023 00:00:40.853,9.500
08/06/2023 00:00:41.870,9.500
08/06/2023 00:00:42.891,9.500
08/06/2023 00:00:43.902,9.500
08/06/2023 00:00:44.908,9.500
08/06/2023 00:00:45.929,9.500
08/06/2023 00:00:46.948,9.500
08/06/2023 00:00:47.967,9.500
08/06/2023 00:00:48.980,9.500
08/06/2023 00:00:49.993,9.500
08/06/2023 00:00:51.026,9.500
08/06/2023 00:00:52.043,9.500
08/06/2023 00:00:53.058,9.500
08/06/2023 00:00:54.071,9.500
08/06/2023 00:00:55.083,9.500
08/06/2023 00:00:56.096,9.500
08/06/2023 00:00:57.104,9.500
08/06/2023 00:00:58.112,9.500
08/06/2023 00:00:59.120,9.500
08/06/2023 00:01:00.141,9.500
08/06/2023 00:01:01.155,9.500
08/06/2023 00:01:02.183,9.500
08/06/2023 00:01:03.196,9.500
08/06/2023 00:01:04.207,9.500
08/06/2023 00:01:05.218,9.500
08/06/2023 00:01:06.226,9.500
08/06/2023 00:01:07.237,9.500
08/06/2023 00:01:08.256,9.500
08/06/2023 00:01:09.274,9.500
08/06/2023 00:01:10.284,9.500
08/06/2023 00:01:11.291,9.500
