'EPIC GeO.PID.wOP Log File

'Date,GeO.PID.wOP
08/06/2023 00:00:01.275,5.700
08/06/2023 00:00:02.283,5.600
08/06/2023 00:00:03.290,5.600
08/06/2023 00:00:04.310,5.600
08/06/2023 00:00:05.320,5.600
08/06/2023 00:00:06.328,5.600
08/06/2023 00:00:07.339,5.600
08/06/2023 00:00:08.350,5.600
08/06/2023 00:00:09.369,5.500
08/06/2023 00:00:10.389,5.500
08/06/2023 00:00:11.406,5.500
08/06/2023 00:00:12.434,5.500
08/06/2023 00:00:13.454,5.500
08/06/2023 00:00:14.472,5.500
08/06/2023 00:00:15.492,5.500
08/06/2023 00:00:16.502,5.500
08/06/2023 00:00:17.513,5.500
08/06/2023 00:00:18.550,5.500
08/06/2023 00:00:19.566,5.500
08/06/2023 00:00:20.586,5.500
08/06/2023 00:00:21.604,5.500
08/06/2023 00:00:22.613,5.500
08/06/2023 00:00:23.636,5.500
08/06/2023 00:00:24.666,5.500
08/06/2023 00:00:25.680,5.500
08/06/2023 00:00:26.689,5.500
08/06/2023 00:00:27.697,5.500
08/06/2023 00:00:28.707,5.500
08/06/2023 00:00:29.714,5.500
08/06/2023 00:00:30.726,5.500
08/06/2023 00:00:31.739,5.500
08/06/2023 00:00:32.747,5.500
08/06/2023 00:00:33.758,5.500
08/06/2023 00:00:34.779,5.500
08/06/2023 00:00:35.787,5.500
08/06/2023 00:00:36.807,5.500
08/06/2023 00:00:37.827,5.500
08/06/2023 00:00:38.833,5.500
08/06/2023 00:00:39.841,5.500
08/06/2023 00:00:40.854,5.500
08/06/2023 00:00:41.871,5.500
08/06/2023 00:00:42.891,5.500
08/06/2023 00:00:43.903,5.500
08/06/2023 00:00:44.908,5.500
08/06/2023 00:00:45.929,5.500
08/06/2023 00:00:46.948,5.500
08/06/2023 00:00:47.967,5.500
08/06/2023 00:00:48.981,5.500
08/06/2023 00:00:49.994,5.500
08/06/2023 00:00:51.027,5.500
08/06/2023 00:00:52.043,5.500
08/06/2023 00:00:53.058,5.500
08/06/2023 00:00:54.071,5.500
08/06/2023 00:00:55.083,5.500
08/06/2023 00:00:56.097,5.500
08/06/2023 00:00:57.104,5.500
08/06/2023 00:00:58.112,5.500
08/06/2023 00:00:59.120,5.500
08/06/2023 00:01:00.141,5.500
08/06/2023 00:01:01.155,5.500
08/06/2023 00:01:02.183,5.600
08/06/2023 00:01:03.196,5.600
08/06/2023 00:01:04.207,5.600
08/06/2023 00:01:05.218,5.600
08/06/2023 00:01:06.227,5.500
08/06/2023 00:01:07.237,5.600
08/06/2023 00:01:08.256,5.600
08/06/2023 00:01:09.274,5.600
08/06/2023 00:01:10.285,5.600
08/06/2023 00:01:11.291,5.600
08/06/2023 00:01:12.302,5.600
08/06/2023 00:01:13.322,5.600
08/06/2023 00:01:14.330,5.600
08/06/2023 00:01:15.348,5.600
08/06/2023 00:01:16.357,5.600
08/06/2023 00:01:17.381,5.600
08/06/2023 00:01:18.400,5.600
08/06/2023 00:01:19.407,5.600
08/06/2023 00:01:20.418,5.600
08/06/2023 00:01:21.427,5.600
08/06/2023 00:01:22.440,5.600
08/06/2023 00:01:23.452,5.600
08/06/2023 00:01:24.459,5.600
08/06/2023 00:01:25.468,5.600
08/06/2023 00:01:26.480,5.600
08/06/2023 00:01:27.494,5.600
08/06/2023 00:01:28.513,5.600
08/06/2023 00:01:29.531,5.600
08/06/2023 00:01:30.556,5.600
08/06/2023 00:01:31.573,5.600
08/06/2023 00:01:32.580,5.600
08/06/2023 00:01:33.591,5.600
08/06/2023 00:01:34.598,5.600
08/06/2023 00:01:35.606,5.600
08/06/2023 00:01:36.616,5.600
08/06/2023 00:01:37.624,5.600
08/06/2023 00:01:38.643,5.600
08/06/2023 00:01:39.651,5.600
08/06/2023 00:01:40.661,5.600
08/06/2023 00:01:41.677,5.600
08/06/2023 00:01:42.686,5.500
08/06/2023 00:01:43.708,5.500
08/06/2023 00:01:44.733,5.600
08/06/2023 00:01:45.749,5.500
08/06/2023 00:01:46.771,5.500
08/06/2023 00:01:47.791,5.500
08/06/2023 00:01:48.802,5.500
08/06/2023 00:01:49.809,5.500
08/06/2023 00:01:50.827,5.500
08/06/2023 00:01:51.837,5.500
08/06/2023 00:01:52.859,5.500
08/06/2023 00:01:53.872,5.500
08/06/2023 00:01:54.880,5.500
08/06/2023 00:01:55.889,5.500
08/06/2023 00:01:56.898,5.500
08/06/2023 00:01:57.911,5.500
08/06/2023 00:01:58.920,5.500
08/06/2023 00:01:59.927,5.500
08/06/2023 00:02:00.940,5.500
08/06/2023 00:02:01.953,5.500
08/06/2023 00:02:02.965,5.500
08/06/2023 00:02:03.973,5.500
08/06/2023 00:02:04.983,5.500
08/06/2023 00:02:05.992,5.500
08/06/2023 00:02:07.004,5.500
08/06/2023 00:02:08.013,5.500
08/06/2023 00:02:09.022,5.500
08/06/2023 00:02:10.057,5.500
08/06/2023 00:02:11.069,5.500
08/06/2023 00:02:12.079,5.500
08/06/2023 00:02:13.087,5.500
08/06/2023 00:02:14.097,5.500
08/06/2023 00:02:15.122,5.500
08/06/2023 00:02:16.130,5.500
08/06/2023 00:02:17.139,5.500
08/06/2023 00:02:18.150,5.500
08/06/2023 00:02:19.157,5.500
08/06/2023 00:02:20.167,5.500
08/06/2023 00:02:21.188,5.500
08/06/2023 00:02:22.201,5.500
08/06/2023 00:02:23.220,5.500
08/06/2023 00:02:24.238,5.500
08/06/2023 00:02:25.260,5.500
08/06/2023 00:02:26.268,5.500
08/06/2023 00:02:27.287,5.600
08/06/2023 00:02:28.299,5.600
08/06/2023 00:02:29.321,5.600
08/06/2023 00:02:30.333,5.600
08/06/2023 00:02:31.342,5.600
08/06/2023 00:02:32.350,5.600
08/06/2023 00:02:33.371,5.600
08/06/2023 00:02:34.380,5.600
08/06/2023 00:02:35.392,5.600
08/06/2023 00:02:36.399,5.600
08/06/2023 00:02:37.408,5.600
08/06/2023 00:02:38.414,5.600
08/06/2023 00:02:39.426,5.600
08/06/2023 00:02:40.434,5.600
08/06/2023 00:02:41.459,5.600
08/06/2023 00:02:42.481,5.600
08/06/2023 00:02:43.501,5.600
08/06/2023 00:02:44.509,5.600
08/06/2023 00:02:45.516,5.600
08/06/2023 00:02:46.534,5.600
