'EPIC In.PID.wOP Log File

'Date,In.PID.wOP
08/06/2023 00:00:01.275,7.600
08/06/2023 00:00:02.283,7.400
08/06/2023 00:00:03.291,7.400
08/06/2023 00:00:04.310,7.500
08/06/2023 00:00:05.320,7.400
08/06/2023 00:00:06.328,7.400
08/06/2023 00:00:07.339,7.400
08/06/2023 00:00:08.350,7.500
08/06/2023 00:00:09.369,7.300
08/06/2023 00:00:10.389,7.400
08/06/2023 00:00:11.409,7.500
08/06/2023 00:00:12.434,7.500
08/06/2023 00:00:13.454,7.400
08/06/2023 00:00:14.472,7.400
08/06/2023 00:00:15.493,7.400
08/06/2023 00:00:16.502,7.500
08/06/2023 00:00:17.514,7.500
08/06/2023 00:00:18.550,7.400
08/06/2023 00:00:19.566,7.500
08/06/2023 00:00:20.586,7.500
08/06/2023 00:00:21.605,7.400
08/06/2023 00:00:22.614,7.400
08/06/2023 00:00:23.636,7.400
08/06/2023 00:00:24.666,7.500
08/06/2023 00:00:25.681,7.500
08/06/2023 00:00:26.690,7.500
08/06/2023 00:00:27.698,7.500
08/06/2023 00:00:28.707,7.500
08/06/2023 00:00:29.715,7.400
08/06/2023 00:00:30.726,7.400
08/06/2023 00:00:31.739,7.300
08/06/2023 00:00:32.748,7.400
08/06/2023 00:00:33.758,7.600
08/06/2023 00:00:34.779,7.500
08/06/2023 00:00:35.787,7.400
08/06/2023 00:00:36.807,7.400
08/06/2023 00:00:37.827,7.500
08/06/2023 00:00:38.833,7.500
08/06/2023 00:00:39.841,7.500
08/06/2023 00:00:40.854,7.500
08/06/2023 00:00:41.871,7.500
08/06/2023 00:00:42.891,7.500
08/06/2023 00:00:43.903,7.400
08/06/2023 00:00:44.909,7.400
08/06/2023 00:00:45.930,7.400
08/06/2023 00:00:46.948,7.500
08/06/2023 00:00:47.967,7.400
08/06/2023 00:00:48.981,7.600
08/06/2023 00:00:49.994,7.400
08/06/2023 00:00:51.027,7.500
08/06/2023 00:00:52.043,7.500
08/06/2023 00:00:53.058,7.500
08/06/2023 00:00:54.071,7.400
08/06/2023 00:00:55.083,7.500
08/06/2023 00:00:56.097,7.600
08/06/2023 00:00:57.104,7.500
08/06/2023 00:00:58.112,7.400
08/06/2023 00:00:59.120,7.400
08/06/2023 00:01:00.142,7.500
08/06/2023 00:01:01.156,7.400
08/06/2023 00:01:02.183,7.400
08/06/2023 00:01:03.196,7.400
08/06/2023 00:01:04.207,7.500
08/06/2023 00:01:05.218,7.400
08/06/2023 00:01:06.228,7.400
08/06/2023 00:01:07.237,7.400
08/06/2023 00:01:08.257,7.400
08/06/2023 00:01:09.274,7.500
08/06/2023 00:01:10.285,7.600
08/06/2023 00:01:11.291,7.500
08/06/2023 00:01:12.302,7.500
08/06/2023 00:01:13.322,7.500
08/06/2023 00:01:14.330,7.500
08/06/2023 00:01:15.349,7.500
08/06/2023 00:01:16.357,7.400
08/06/2023 00:01:17.381,7.300
08/06/2023 00:01:18.400,7.500
08/06/2023 00:01:19.408,7.400
08/06/2023 00:01:20.418,7.500
08/06/2023 00:01:21.427,7.500
08/06/2023 00:01:22.441,7.500
08/06/2023 00:01:23.452,7.500
08/06/2023 00:01:24.459,7.500
08/06/2023 00:01:25.468,7.500
08/06/2023 00:01:26.480,7.500
08/06/2023 00:01:27.495,7.500
08/06/2023 00:01:28.513,7.500
08/06/2023 00:01:29.531,7.400
08/06/2023 00:01:30.556,7.400
08/06/2023 00:01:31.573,7.500
08/06/2023 00:01:32.580,7.500
08/06/2023 00:01:33.591,7.400
08/06/2023 00:01:34.598,7.400
08/06/2023 00:01:35.606,7.400
08/06/2023 00:01:36.616,7.400
08/06/2023 00:01:37.624,7.500
08/06/2023 00:01:38.644,7.400
08/06/2023 00:01:39.651,7.500
08/06/2023 00:01:40.662,7.400
08/06/2023 00:01:41.678,7.500
08/06/2023 00:01:42.686,7.500
08/06/2023 00:01:43.708,7.400
08/06/2023 00:01:44.733,7.500
08/06/2023 00:01:45.749,7.500
08/06/2023 00:01:46.771,7.400
08/06/2023 00:01:47.792,7.400
08/06/2023 00:01:48.802,7.500
08/06/2023 00:01:49.809,7.500
08/06/2023 00:01:50.827,7.500
08/06/2023 00:01:51.837,7.500
08/06/2023 00:01:52.860,7.500
08/06/2023 00:01:53.872,7.500
08/06/2023 00:01:54.880,7.400
08/06/2023 00:01:55.889,7.400
08/06/2023 00:01:56.898,7.400
08/06/2023 00:01:57.912,7.600
08/06/2023 00:01:58.920,7.400
08/06/2023 00:01:59.927,7.400
08/06/2023 00:02:00.941,7.500
08/06/2023 00:02:01.954,7.500
08/06/2023 00:02:02.965,7.600
08/06/2023 00:02:03.974,7.400
08/06/2023 00:02:04.984,7.500
08/06/2023 00:02:05.992,7.500
08/06/2023 00:02:07.004,7.400
08/06/2023 00:02:08.013,7.500
08/06/2023 00:02:09.023,7.600
08/06/2023 00:02:10.058,7.500
08/06/2023 00:02:11.069,7.500
08/06/2023 00:02:12.080,7.500
08/06/2023 00:02:13.088,7.400
08/06/2023 00:02:14.097,7.400
08/06/2023 00:02:15.122,7.400
08/06/2023 00:02:16.130,7.600
08/06/2023 00:02:17.140,7.500
08/06/2023 00:02:18.150,7.500
08/06/2023 00:02:19.158,7.500
08/06/2023 00:02:20.167,7.500
08/06/2023 00:02:21.189,7.500
08/06/2023 00:02:22.201,7.500
08/06/2023 00:02:23.220,7.400
08/06/2023 00:02:24.239,7.400
08/06/2023 00:02:25.260,7.500
08/06/2023 00:02:26.268,7.400
08/06/2023 00:02:27.287,7.500
08/06/2023 00:02:28.299,7.500
08/06/2023 00:02:29.322,7.500
08/06/2023 00:02:30.333,7.500
08/06/2023 00:02:31.342,7.400
08/06/2023 00:02:32.350,7.500
08/06/2023 00:02:33.371,7.500
08/06/2023 00:02:34.381,7.500
08/06/2023 00:02:35.392,7.600
08/06/2023 00:02:36.400,7.500
08/06/2023 00:02:37.408,7.400
08/06/2023 00:02:38.414,7.500
08/06/2023 00:02:39.426,7.500
08/06/2023 00:02:40.434,7.400
08/06/2023 00:02:41.459,7.500
08/06/2023 00:02:42.481,7.500
08/06/2023 00:02:43.501,7.500
08/06/2023 00:02:44.509,7.500
08/06/2023 00:02:45.516,7.500
08/06/2023 00:02:46.534,7.500
08/06/2023 00:02:47.557,7.500
08/06/2023 00:02:48.566,7.400
08/06/2023 00:02:49.575,7.400
08/06/2023 00:02:50.581,7.400
08/06/2023 00:02:51.594,7.500
08/06/2023 00:02:52.605,7.400
08/06/2023 00:02:53.631,7.400
08/06/2023 00:02:54.640,7.400
08/06/2023 00:02:55.650,7.400
08/06/2023 00:02:56.672,7.500
08/06/2023 00:02:57.682,7.400
08/06/2023 00:02:58.692,7.600
08/06/2023 00:02:59.715,7.500
08/06/2023 00:03:00.722,7.500
08/06/2023 00:03:01.745,7.500
08/06/2023 00:03:02.765,7.400
08/06/2023 00:03:03.775,7.400
08/06/2023 00:03:04.795,7.400
08/06/2023 00:03:05.804,7.400
08/06/2023 00:03:06.816,7.500
08/06/2023 00:03:07.828,7.500
08/06/2023 00:03:08.848,7.500
08/06/2023 00:03:09.872,7.500
08/06/2023 00:03:10.895,7.400
08/06/2023 00:03:11.907,7.400
08/06/2023 00:03:12.924,7.400
08/06/2023 00:03:13.937,7.400
