'EPIC N.MF.MV Log File

'Date,N.MF.MV
08/06/2023 00:45:19.741,-2.39E-02
08/06/2023 01:45:20.602,-2.39E-02
08/06/2023 02:45:21.567,-2.34E-02
08/06/2023 03:45:22.171,-2.36E-02
08/06/2023 04:45:23.049,-2.36E-02
08/06/2023 05:45:23.847,-2.33E-02
08/06/2023 06:45:24.801,-2.34E-02
08/06/2023 07:45:25.381,-2.35E-02
08/06/2023 08:45:25.487,-2.24E-02
08/06/2023 09:45:25.976,-2.18E-02
08/06/2023 10:45:26.678,-2.19E-02
08/06/2023 11:32:56.640,0.0
08/06/2023 11:32:57.656,0.0
08/06/2023 11:32:59.656,-2.19E-02
08/06/2023 11:33:00.651,-2.19E-02
08/06/2023 12:17:00.925,2.41E-02
08/06/2023 12:17:02.972,2.41E-02
08/06/2023 12:17:03.984,0.1733
08/06/2023 12:17:05.011,0.1733
08/06/2023 12:17:08.064,2.88E-02
08/06/2023 12:17:09.084,2.88E-02
08/06/2023 12:17:11.123,2.62E-02
08/06/2023 12:17:12.144,2.62E-02
08/06/2023 12:17:15.208,2.49E-02
08/06/2023 12:17:17.242,2.49E-02
08/06/2023 12:17:19.242,2.48E-02
08/06/2023 12:17:20.239,2.48E-02
08/06/2023 12:17:21.242,2.32E-02
08/06/2023 12:17:22.239,2.32E-02
08/06/2023 12:17:25.243,2.18E-02
08/06/2023 12:17:26.239,2.18E-02
08/06/2023 12:17:28.244,1.96E-02
08/06/2023 12:17:29.263,1.96E-02
08/06/2023 12:17:31.278,1.82E-02
08/06/2023 12:17:32.281,1.82E-02
08/06/2023 12:17:35.282,1.61E-02
08/06/2023 12:17:36.278,1.61E-02
08/06/2023 12:17:38.303,1.42E-02
08/06/2023 12:17:39.327,1.42E-02
08/06/2023 12:17:42.341,1.31E-02
08/06/2023 12:17:43.340,1.31E-02
08/06/2023 12:17:45.343,1.11E-02
08/06/2023 12:17:46.363,1.11E-02
08/06/2023 12:17:49.358,9.20E-03
08/06/2023 12:17:50.360,9.20E-03
08/06/2023 12:17:52.360,7.40E-03
08/06/2023 12:17:53.358,7.40E-03
