'EPIC O.Light.MV Log File

'Date,O.Light.MV
08/06/2023 00:00:03.293,0.1095
08/06/2023 00:00:04.312,0.1147
08/06/2023 00:00:19.569,0.1199
08/06/2023 00:00:21.607,0.1147
08/06/2023 00:00:33.760,0.1095
08/06/2023 00:00:34.782,0.1147
08/06/2023 00:00:49.996,0.1199
08/06/2023 00:00:53.060,0.1147
08/06/2023 00:01:05.220,0.1095
08/06/2023 00:01:06.230,0.1147
08/06/2023 00:01:30.559,0.1199
08/06/2023 00:01:31.575,0.1147
08/06/2023 00:01:41.680,0.1095
08/06/2023 00:01:42.688,0.1147
08/06/2023 00:02:04.986,0.1199
08/06/2023 00:02:05.994,0.1147
08/06/2023 00:02:21.191,0.1043
08/06/2023 00:02:23.222,0.1095
08/06/2023 00:02:33.373,0.1147
08/06/2023 00:02:34.383,0.1095
08/06/2023 00:03:43.458,0.1043
08/06/2023 00:03:48.560,0.1095
08/06/2023 00:03:58.741,0.1147
08/06/2023 00:03:59.751,0.1147
08/06/2023 00:04:12.978,0.1251
08/06/2023 00:04:20.070,0.1199
08/06/2023 00:04:30.270,0.1147
08/06/2023 00:04:31.281,0.1147
08/06/2023 00:05:17.088,0.1043
08/06/2023 00:05:19.122,0.1095
08/06/2023 00:05:29.293,0.1147
08/06/2023 00:05:30.304,0.1147
08/06/2023 00:06:11.020,0.1251
08/06/2023 00:06:13.056,0.1199
08/06/2023 00:06:23.229,0.1147
08/06/2023 00:06:24.252,0.1199
08/06/2023 00:07:39.559,0.1043
08/06/2023 00:07:40.573,0.1043
08/06/2023 00:07:51.763,0.1147
08/06/2023 00:07:52.786,0.1095
08/06/2023 00:11:03.953,9.91E-02
08/06/2023 00:11:14.131,0.1147
08/06/2023 00:11:15.162,0.1147
08/06/2023 00:11:26.330,0.1043
08/06/2023 00:11:30.380,0.1095
08/06/2023 00:11:40.514,0.1199
08/06/2023 00:11:41.536,0.1147
08/06/2023 00:11:56.794,0.1095
08/06/2023 00:11:57.813,0.1095
08/06/2023 00:12:29.301,0.1199
08/06/2023 00:12:32.347,0.1147
08/06/2023 00:12:44.558,0.1095
08/06/2023 00:12:45.570,0.1147
08/06/2023 00:13:09.994,0.1199
08/06/2023 00:13:11.005,0.1147
08/06/2023 00:13:23.220,0.1095
08/06/2023 00:13:24.233,0.1095
08/06/2023 00:13:37.437,0.1199
08/06/2023 00:13:38.446,0.1199
08/06/2023 00:13:48.605,0.1095
08/06/2023 00:13:49.613,0.1147
08/06/2023 00:14:04.877,0.1199
08/06/2023 00:14:05.885,0.1147
08/06/2023 00:14:18.133,0.1095
08/06/2023 00:14:19.148,0.1095
08/06/2023 00:14:45.586,0.1199
08/06/2023 00:14:47.618,0.1147
08/06/2023 00:15:01.809,0.1095
08/06/2023 00:15:02.838,0.1147
08/06/2023 00:15:21.126,0.1199
08/06/2023 00:15:23.170,0.1147
08/06/2023 00:15:33.376,0.1095
08/06/2023 00:15:34.390,0.1095
08/06/2023 00:15:55.733,0.1199
08/06/2023 00:16:01.834,0.1147
08/06/2023 00:16:19.087,0.1095
08/06/2023 00:16:20.100,0.1147
08/06/2023 00:16:33.295,0.1199
08/06/2023 00:16:34.307,0.1147
08/06/2023 00:16:45.514,0.1095
08/06/2023 00:16:46.534,0.1095
08/06/2023 00:17:29.220,0.1199
08/06/2023 00:17:31.251,0.1147
08/06/2023 00:17:41.408,0.1095
08/06/2023 00:17:42.437,0.1147
08/06/2023 00:17:56.717,0.1199
08/06/2023 00:17:58.758,0.1147
08/06/2023 00:18:09.947,0.1095
08/06/2023 00:18:10.959,0.1147
08/06/2023 00:18:31.265,0.1199
08/06/2023 00:18:32.275,0.1199
08/06/2023 00:18:42.442,0.1095
08/06/2023 00:18:43.452,0.1147
08/06/2023 00:19:01.733,0.1199
08/06/2023 00:19:02.754,0.1147
08/06/2023 00:19:12.888,0.1095
08/06/2023 00:19:13.909,0.1095
08/06/2023 00:19:28.191,0.1199
08/06/2023 00:19:30.221,0.1147
08/06/2023 00:19:41.417,0.1095
08/06/2023 00:19:42.443,0.1147
08/06/2023 00:19:56.689,0.1199
08/06/2023 00:19:58.728,0.1199
08/06/2023 00:20:08.923,0.1095
08/06/2023 00:20:09.931,0.1147
08/06/2023 00:20:31.214,0.1199
08/06/2023 00:20:34.268,0.1147
08/06/2023 00:20:44.468,0.1095
08/06/2023 00:20:45.492,0.1147
08/06/2023 00:21:07.886,0.1199
08/06/2023 00:21:10.925,0.1147
08/06/2023 00:21:21.088,0.1095
08/06/2023 00:21:22.110,0.1147
08/06/2023 00:21:33.282,0.1199
08/06/2023 00:21:34.303,0.1147
08/06/2023 00:21:46.545,0.1095
08/06/2023 00:21:49.601,0.1147
08/06/2023 00:22:10.954,0.1199
08/06/2023 00:22:11.977,0.1147
08/06/2023 00:22:23.132,0.1095
08/06/2023 00:22:24.152,0.1095
08/06/2023 00:22:45.497,0.1199
08/06/2023 00:22:46.514,0.1147
08/06/2023 00:22:56.728,0.1095
08/06/2023 00:22:57.744,0.1147
08/06/2023 00:23:09.926,0.1199
08/06/2023 00:23:10.943,0.1199
08/06/2023 00:23:24.116,0.1095
08/06/2023 00:23:25.123,0.1147
08/06/2023 00:23:59.658,0.1199
08/06/2023 00:24:00.667,0.1199
08/06/2023 00:24:14.890,0.1095
08/06/2023 00:24:15.905,0.1147
08/06/2023 00:25:25.002,0.1199
08/06/2023 00:25:29.078,0.1147
08/06/2023 00:25:41.258,0.1095
08/06/2023 00:25:42.272,0.1095
08/06/2023 00:25:54.437,0.1199
08/06/2023 00:25:56.500,0.1147
08/06/2023 00:26:10.716,0.1095
08/06/2023 00:26:11.737,0.1147
08/06/2023 00:26:22.927,0.1199
08/06/2023 00:26:24.959,0.1147
08/06/2023 00:26:36.160,0.1095
08/06/2023 00:26:37.168,0.1147
08/06/2023 00:27:13.765,0.1199
08/06/2023 00:27:14.785,0.1147
08/06/2023 00:27:24.921,0.1095
08/06/2023 00:27:26.944,0.1147
08/06/2023 00:27:59.474,0.1199
08/06/2023 00:28:04.537,0.1147
08/06/2023 00:28:14.710,0.1095
08/06/2023 00:28:15.720,0.1095
08/06/2023 00:29:15.644,0.1199
08/06/2023 00:29:17.680,0.1147
08/06/2023 00:29:33.983,0.1095
08/06/2023 00:29:35.006,0.1147
08/06/2023 00:29:47.176,0.1199
08/06/2023 00:29:50.222,0.1147
08/06/2023 00:30:01.407,0.1095
08/06/2023 00:30:02.430,0.1147
08/06/2023 00:30:29.892,0.1199
08/06/2023 00:30:31.915,0.1147
08/06/2023 00:30:42.081,0.1095
08/06/2023 00:30:43.093,0.1147
08/06/2023 00:30:58.329,0.1199
08/06/2023 00:31:00.371,0.1147
08/06/2023 00:31:10.566,0.1095
08/06/2023 00:31:11.584,0.1095
08/06/2023 00:31:39.018,0.1199
08/06/2023 00:31:40.029,0.1147
08/06/2023 00:31:51.191,0.1095
08/06/2023 00:31:52.203,0.1095
08/06/2023 00:32:02.365,0.1199
08/06/2023 00:32:03.373,0.1147
08/06/2023 00:32:13.542,0.1095
08/06/2023 00:32:14.552,0.1147
08/06/2023 00:32:34.877,0.1199
08/06/2023 00:32:36.893,0.1147
08/06/2023 00:32:49.086,0.1095
08/06/2023 00:32:50.111,0.1095
08/06/2023 00:33:08.434,0.1199
08/06/2023 00:33:09.443,0.1147
08/06/2023 00:33:19.631,0.1095
08/06/2023 00:33:20.641,0.1147
08/06/2023 00:33:36.956,0.1199
08/06/2023 00:33:37.978,0.1147
08/06/2023 00:33:56.301,0.1095
08/06/2023 00:33:58.336,0.1147
08/06/2023 00:34:10.554,0.1199
08/06/2023 00:34:11.572,0.1147
08/06/2023 00:34:22.758,0.1095
