'EPIC O.MF.MV Log File

'Date,O.MF.MV
08/06/2023 00:05:04.873,5.52E-02
08/06/2023 00:05:05.884,5.52E-02
08/06/2023 00:07:14.098,5.00E-02
08/06/2023 00:07:15.117,5.00E-02
08/06/2023 00:08:07.018,5.60E-02
08/06/2023 00:08:08.029,5.60E-02
08/06/2023 00:08:50.738,5.04E-02
08/06/2023 00:08:51.749,5.04E-02
08/06/2023 00:09:56.878,4.52E-02
08/06/2023 00:09:57.910,4.52E-02
08/06/2023 00:10:15.217,5.04E-02
08/06/2023 00:10:16.235,5.04E-02
08/06/2023 00:10:31.468,5.56E-02
08/06/2023 00:10:32.483,5.56E-02
08/06/2023 00:11:19.230,5.04E-02
08/06/2023 00:11:20.243,5.04E-02
08/06/2023 00:19:28.191,5.56E-02
08/06/2023 00:19:29.200,5.56E-02
08/06/2023 00:20:20.069,4.92E-02
08/06/2023 00:20:21.080,4.92E-02
08/06/2023 00:22:52.662,5.48E-02
08/06/2023 00:22:53.675,5.48E-02
08/06/2023 00:25:22.979,4.88E-02
08/06/2023 00:25:23.990,4.88E-02
08/06/2023 00:25:46.335,5.40E-02
08/06/2023 00:25:47.347,5.40E-02
08/06/2023 00:32:33.850,4.84E-02
08/06/2023 00:32:34.876,4.84E-02
08/06/2023 00:33:30.860,5.40E-02
08/06/2023 00:33:31.881,5.40E-02
08/06/2023 00:33:44.087,4.84E-02
08/06/2023 00:33:45.096,4.84E-02
08/06/2023 00:36:19.562,5.44E-02
08/06/2023 00:36:20.581,5.44E-02
08/06/2023 00:38:52.011,4.92E-02
08/06/2023 00:38:53.031,4.92E-02
08/06/2023 00:39:43.860,5.48E-02
08/06/2023 00:39:44.878,5.48E-02
08/06/2023 00:40:30.578,4.88E-02
08/06/2023 00:40:31.591,4.88E-02
08/06/2023 00:41:04.151,5.48E-02
08/06/2023 00:41:05.160,5.48E-02
08/06/2023 00:42:10.173,4.96E-02
08/06/2023 00:42:11.181,4.96E-02
08/06/2023 00:48:37.425,4.44E-02
08/06/2023 00:48:38.434,4.44E-02
08/06/2023 00:48:53.657,5.20E-02
08/06/2023 00:48:54.675,5.20E-02
08/06/2023 00:56:11.372,4.52E-02
08/06/2023 00:56:12.389,4.52E-02
08/06/2023 00:57:38.515,5.08E-02
08/06/2023 00:57:39.524,5.08E-02
08/06/2023 01:00:14.657,4.56E-02
08/06/2023 01:00:15.669,4.56E-02
08/06/2023 01:00:37.949,5.12E-02
08/06/2023 01:00:38.970,5.12E-02
08/06/2023 01:14:16.790,5.68E-02
08/06/2023 01:14:17.801,5.68E-02
08/06/2023 01:14:46.294,5.08E-02
08/06/2023 01:14:47.307,5.08E-02
08/06/2023 01:20:29.845,4.52E-02
08/06/2023 01:20:30.860,4.52E-02
08/06/2023 01:20:46.132,5.16E-02
08/06/2023 01:20:47.145,5.16E-02
08/06/2023 01:21:31.867,4.64E-02
08/06/2023 01:21:32.886,4.64E-02
08/06/2023 01:21:52.196,5.20E-02
08/06/2023 01:21:53.210,5.20E-02
08/06/2023 01:22:43.018,4.64E-02
08/06/2023 01:22:44.041,4.64E-02
08/06/2023 01:23:09.419,5.20E-02
08/06/2023 01:23:10.430,5.20E-02
08/06/2023 01:24:25.635,4.68E-02
08/06/2023 01:24:26.648,4.68E-02
08/06/2023 01:27:38.917,5.20E-02
08/06/2023 01:27:39.941,5.20E-02
08/06/2023 01:31:21.563,4.60E-02
08/06/2023 01:31:22.586,4.60E-02
08/06/2023 01:32:15.397,5.16E-02
08/06/2023 01:32:16.421,5.16E-02
08/06/2023 01:37:06.131,5.72E-02
08/06/2023 01:37:07.152,5.72E-02
08/06/2023 01:37:39.681,5.20E-02
08/06/2023 01:37:40.691,5.20E-02
08/06/2023 01:40:34.464,5.80E-02
08/06/2023 01:40:35.489,5.80E-02
08/06/2023 01:42:12.022,5.28E-02
08/06/2023 01:42:13.040,5.28E-02
08/06/2023 01:51:39.483,4.76E-02
08/06/2023 01:51:40.490,4.76E-02
08/06/2023 01:52:36.212,5.36E-02
08/06/2023 01:52:37.219,5.36E-02
08/06/2023 01:56:39.309,4.84E-02
08/06/2023 01:56:40.331,4.84E-02
08/06/2023 01:57:54.329,5.36E-02
08/06/2023 01:57:55.340,5.36E-02
08/06/2023 01:58:30.860,4.72E-02
08/06/2023 01:58:31.880,4.72E-02
08/06/2023 02:00:49.726,5.24E-02
08/06/2023 02:00:50.748,5.24E-02
08/06/2023 02:07:39.677,4.72E-02
08/06/2023 02:07:40.699,4.72E-02
08/06/2023 02:09:37.683,5.24E-02
08/06/2023 02:09:38.705,5.24E-02
08/06/2023 02:16:01.986,4.68E-02
08/06/2023 02:16:02.994,4.68E-02
08/06/2023 02:17:17.229,5.20E-02
08/06/2023 02:17:18.252,5.20E-02
08/06/2023 02:19:39.545,4.64E-02
08/06/2023 02:19:40.555,4.64E-02
08/06/2023 02:20:56.781,5.24E-02
08/06/2023 02:20:57.801,5.24E-02
08/06/2023 02:25:41.429,4.72E-02
08/06/2023 02:25:42.442,4.72E-02
08/06/2023 02:26:44.488,5.32E-02
08/06/2023 02:26:45.498,5.32E-02
08/06/2023 02:29:09.965,4.80E-02
08/06/2023 02:29:10.999,4.80E-02
08/06/2023 02:31:03.873,5.32E-02
08/06/2023 02:31:04.896,5.32E-02
08/06/2023 02:32:15.113,4.80E-02
08/06/2023 02:32:16.123,4.80E-02
08/06/2023 02:35:13.015,5.44E-02
08/06/2023 02:35:14.032,5.44E-02
08/06/2023 02:36:10.933,4.92E-02
08/06/2023 02:36:11.951,4.92E-02
08/06/2023 02:41:14.900,5.44E-02
08/06/2023 02:41:15.915,5.44E-02
08/06/2023 02:42:18.867,4.92E-02
08/06/2023 02:42:19.876,4.92E-02
08/06/2023 02:47:12.016,5.44E-02
08/06/2023 02:47:13.049,5.44E-02
08/06/2023 02:47:57.650,4.92E-02
08/06/2023 02:47:58.667,4.92E-02
08/06/2023 02:55:34.585,5.44E-02
08/06/2023 02:55:35.594,5.44E-02
08/06/2023 02:59:33.862,4.88E-02
08/06/2023 02:59:34.869,4.88E-02
08/06/2023 02:59:51.057,5.40E-02
08/06/2023 02:59:52.067,5.40E-02
08/06/2023 03:07:23.858,4.88E-02
08/06/2023 03:07:24.882,4.88E-02
08/06/2023 03:09:26.921,5.40E-02
08/06/2023 03:09:27.933,5.40E-02
08/06/2023 03:10:43.191,4.88E-02
08/06/2023 03:10:44.213,4.88E-02
08/06/2023 03:18:25.725,5.44E-02
08/06/2023 03:18:26.744,5.44E-02
08/06/2023 03:19:07.390,4.92E-02
08/06/2023 03:19:08.402,4.92E-02
08/06/2023 03:21:37.882,5.48E-02
08/06/2023 03:21:38.905,5.48E-02
08/06/2023 03:22:46.017,4.96E-02
08/06/2023 03:22:47.039,4.96E-02
08/06/2023 03:25:19.603,5.48E-02
08/06/2023 03:25:20.624,5.48E-02
08/06/2023 03:26:04.363,4.92E-02
08/06/2023 03:26:05.371,4.92E-02
08/06/2023 03:27:24.624,5.52E-02
08/06/2023 03:27:25.632,5.52E-02
08/06/2023 03:30:44.847,4.96E-02
08/06/2023 03:30:45.869,4.96E-02
08/06/2023 03:36:26.296,5.52E-02
08/06/2023 03:36:27.314,5.52E-02
08/06/2023 03:38:25.350,4.88E-02
08/06/2023 03:38:26.373,4.88E-02
08/06/2023 03:38:52.802,5.40E-02
08/06/2023 03:38:53.815,5.40E-02
08/06/2023 03:40:58.885,4.88E-02
08/06/2023 03:40:59.922,4.88E-02
08/06/2023 03:44:25.371,5.40E-02
08/06/2023 03:44:26.378,5.40E-02
08/06/2023 03:47:50.130,4.88E-02
08/06/2023 03:47:51.137,4.88E-02
08/06/2023 03:55:04.252,5.40E-02
08/06/2023 03:55:05.258,5.40E-02
08/06/2023 03:56:24.244,4.80E-02
08/06/2023 03:56:25.251,4.80E-02
08/06/2023 03:57:13.939,5.32E-02
08/06/2023 03:57:14.957,5.32E-02
08/06/2023 03:59:32.697,4.80E-02
08/06/2023 03:59:33.709,4.80E-02
08/06/2023 04:02:18.955,5.32E-02
08/06/2023 04:02:19.979,5.32E-02
08/06/2023 04:02:54.419,4.72E-02
08/06/2023 04:02:55.430,4.72E-02
08/06/2023 04:04:05.468,5.36E-02
08/06/2023 04:04:06.473,5.36E-02
08/06/2023 04:04:44.944,4.84E-02
08/06/2023 04:04:45.958,4.84E-02
08/06/2023 04:05:17.370,5.40E-02
08/06/2023 04:05:18.381,5.40E-02
08/06/2023 04:06:34.686,4.88E-02
08/06/2023 04:06:35.702,4.88E-02
08/06/2023 04:11:37.784,5.44E-02
08/06/2023 04:11:38.806,5.44E-02
08/06/2023 04:12:20.466,4.92E-02
08/06/2023 04:12:21.494,4.92E-02
08/06/2023 04:13:38.822,5.44E-02
08/06/2023 04:13:39.831,5.44E-02
08/06/2023 04:13:52.031,4.92E-02
08/06/2023 04:13:53.050,4.92E-02
08/06/2023 04:18:43.895,5.48E-02
08/06/2023 04:18:44.920,5.48E-02
08/06/2023 04:20:59.144,4.96E-02
08/06/2023 04:21:00.164,4.96E-02
08/06/2023 04:22:53.029,5.48E-02
08/06/2023 04:22:54.051,5.48E-02
08/06/2023 04:26:59.072,4.92E-02
08/06/2023 04:27:00.082,4.92E-02
08/06/2023 04:27:29.660,5.52E-02
08/06/2023 04:27:30.682,5.52E-02
08/06/2023 04:32:11.163,5.00E-02
08/06/2023 04:32:12.184,5.00E-02
08/06/2023 04:33:11.165,5.52E-02
08/06/2023 04:33:12.193,5.52E-02
08/06/2023 04:35:51.755,5.00E-02
08/06/2023 04:35:52.782,5.00E-02
08/06/2023 04:36:04.984,5.56E-02
08/06/2023 04:36:06.006,5.56E-02
08/06/2023 04:39:21.260,5.04E-02
08/06/2023 04:39:22.283,5.04E-02
08/06/2023 04:45:54.451,5.56E-02
08/06/2023 04:45:55.463,5.56E-02
08/06/2023 04:46:06.621,5.04E-02
08/06/2023 04:46:07.630,5.04E-02
08/06/2023 04:52:01.476,5.56E-02
08/06/2023 04:52:02.484,5.56E-02
08/06/2023 04:54:15.184,5.04E-02
08/06/2023 04:54:16.196,5.04E-02
08/06/2023 04:57:35.916,5.56E-02
08/06/2023 04:57:36.924,5.56E-02
08/06/2023 04:58:13.397,5.00E-02
08/06/2023 04:58:14.413,5.00E-02
08/06/2023 05:10:08.913,5.56E-02
08/06/2023 05:10:09.934,5.56E-02
08/06/2023 05:11:08.904,5.00E-02
08/06/2023 05:11:09.930,5.00E-02
08/06/2023 05:17:04.986,5.52E-02
08/06/2023 05:17:06.005,5.52E-02
08/06/2023 05:18:18.251,4.92E-02
08/06/2023 05:18:19.273,4.92E-02
08/06/2023 05:19:13.129,5.48E-02
08/06/2023 05:19:14.150,5.48E-02
08/06/2023 05:19:33.516,4.92E-02
08/06/2023 05:19:34.527,4.92E-02
08/06/2023 05:21:18.194,5.52E-02
08/06/2023 05:21:19.216,5.52E-02
08/06/2023 05:25:24.241,5.00E-02
08/06/2023 05:25:25.251,5.00E-02
08/06/2023 05:30:18.115,5.52E-02
08/06/2023 05:30:19.124,5.52E-02
08/06/2023 05:31:00.811,4.88E-02
08/06/2023 05:31:01.833,4.88E-02
08/06/2023 05:31:44.525,5.44E-02
08/06/2023 05:31:45.546,5.44E-02
08/06/2023 05:32:25.149,4.84E-02
08/06/2023 05:32:26.170,4.84E-02
08/06/2023 05:37:10.814,5.40E-02
08/06/2023 05:37:11.837,5.40E-02
08/06/2023 05:38:04.669,4.88E-02
08/06/2023 05:38:05.680,4.88E-02
08/06/2023 05:38:29.071,5.44E-02
08/06/2023 05:38:30.081,5.44E-02
08/06/2023 05:38:45.312,4.92E-02
08/06/2023 05:38:46.332,4.92E-02
08/06/2023 05:40:11.740,5.44E-02
08/06/2023 05:40:12.767,5.44E-02
08/06/2023 05:40:55.488,4.84E-02
08/06/2023 05:40:56.510,4.84E-02
08/06/2023 05:41:56.516,5.40E-02
08/06/2023 05:41:57.538,5.40E-02
08/06/2023 05:42:08.730,4.84E-02
08/06/2023 05:42:09.744,4.84E-02
08/06/2023 05:43:15.816,5.36E-02
08/06/2023 05:43:16.837,5.36E-02
08/06/2023 05:43:32.064,4.84E-02
08/06/2023 05:43:33.075,4.84E-02
08/06/2023 05:47:33.689,5.40E-02
08/06/2023 05:47:34.699,5.40E-02
08/06/2023 05:51:20.696,4.84E-02
08/06/2023 05:51:21.702,4.84E-02
08/06/2023 05:53:29.491,5.40E-02
08/06/2023 05:53:30.499,5.40E-02
08/06/2023 05:54:11.020,4.88E-02
08/06/2023 05:54:12.041,4.88E-02
08/06/2023 05:59:30.429,5.44E-02
08/06/2023 05:59:31.439,5.44E-02
08/06/2023 06:01:12.899,4.92E-02
08/06/2023 06:01:13.920,4.92E-02
08/06/2023 06:02:03.559,5.48E-02
08/06/2023 06:02:04.578,5.48E-02
08/06/2023 06:04:30.403,4.88E-02
08/06/2023 06:04:31.414,4.88E-02
08/06/2023 06:05:54.506,5.44E-02
08/06/2023 06:05:55.513,5.44E-02
08/06/2023 06:06:43.184,4.88E-02
08/06/2023 06:06:44.194,4.88E-02
08/06/2023 06:08:03.648,5.44E-02
08/06/2023 06:08:04.675,5.44E-02
08/06/2023 06:08:42.278,4.92E-02
08/06/2023 06:08:43.299,4.92E-02
08/06/2023 06:10:00.604,5.44E-02
08/06/2023 06:10:01.614,5.44E-02
08/06/2023 06:11:20.957,4.92E-02
08/06/2023 06:11:21.977,4.92E-02
08/06/2023 06:12:42.281,5.44E-02
08/06/2023 06:12:43.304,5.44E-02
08/06/2023 06:15:16.883,4.92E-02
08/06/2023 06:15:17.928,4.92E-02
