'EPIC O.Reflect.MV Log File

'Date,O.Reflect.MV
08/06/2023 00:00:01.278,14.37
08/06/2023 00:00:02.286,15.00
08/06/2023 00:00:11.412,15.62
08/06/2023 00:00:12.439,16.25
08/06/2023 00:00:19.569,14.37
08/06/2023 00:00:20.589,13.75
08/06/2023 00:00:21.607,15.00
08/06/2023 00:00:22.616,15.00
08/06/2023 00:00:44.911,16.25
08/06/2023 00:00:45.932,15.62
08/06/2023 00:00:47.970,15.00
08/06/2023 00:00:48.985,15.62
08/06/2023 00:01:34.600,16.25
08/06/2023 00:01:35.608,15.00
08/06/2023 00:01:36.618,16.25
08/06/2023 00:01:37.627,15.00
08/06/2023 00:01:38.646,15.00
08/06/2023 00:01:50.830,16.25
08/06/2023 00:01:51.842,15.00
08/06/2023 00:01:52.862,14.37
08/06/2023 00:01:53.874,15.62
08/06/2023 00:01:54.883,13.75
08/06/2023 00:01:55.892,15.00
08/06/2023 00:01:56.901,15.00
08/06/2023 00:02:54.644,16.25
08/06/2023 00:02:55.654,15.62
08/06/2023 00:02:56.677,14.37
08/06/2023 00:02:57.686,15.00
08/06/2023 00:03:00.726,15.62
08/06/2023 00:03:01.750,15.00
08/06/2023 00:03:03.779,14.37
08/06/2023 00:03:04.799,15.00
08/06/2023 00:03:06.821,16.25
08/06/2023 00:03:07.832,15.62
08/06/2023 00:03:10.899,14.37
08/06/2023 00:03:11.911,14.37
08/06/2023 00:03:15.974,15.62
08/06/2023 00:03:16.988,15.00
08/06/2023 00:03:30.213,14.37
08/06/2023 00:03:31.225,15.62
08/06/2023 00:03:32.248,15.00
08/06/2023 00:03:34.281,14.37
08/06/2023 00:03:35.293,14.37
08/06/2023 00:03:38.345,15.62
08/06/2023 00:03:39.359,15.00
08/06/2023 00:03:49.585,14.37
08/06/2023 00:03:50.596,15.62
08/06/2023 00:03:51.622,14.37
08/06/2023 00:03:52.646,14.37
08/06/2023 00:03:53.667,15.62
08/06/2023 00:03:54.691,15.62
08/06/2023 00:03:55.713,13.75
08/06/2023 00:03:56.722,15.62
08/06/2023 00:03:57.733,15.00
08/06/2023 00:04:20.071,14.37
08/06/2023 00:04:21.084,15.00
08/06/2023 00:04:26.204,15.62
08/06/2023 00:04:27.228,15.00
08/06/2023 00:04:29.261,14.37
08/06/2023 00:04:30.271,14.37
08/06/2023 00:04:35.346,15.62
08/06/2023 00:04:36.363,15.00
08/06/2023 00:04:38.402,14.37
08/06/2023 00:04:39.414,15.62
08/06/2023 00:04:40.431,15.62
08/06/2023 00:04:46.543,14.37
08/06/2023 00:04:47.572,15.62
08/06/2023 00:04:48.589,13.75
08/06/2023 00:04:49.603,15.62
08/06/2023 00:04:50.621,15.00
08/06/2023 00:04:55.707,14.37
08/06/2023 00:04:56.730,15.00
08/06/2023 00:05:03.862,15.62
08/06/2023 00:05:04.874,14.37
08/06/2023 00:05:05.885,14.37
08/06/2023 00:05:12.012,15.62
08/06/2023 00:05:13.021,15.00
08/06/2023 00:05:18.113,14.37
08/06/2023 00:05:19.123,15.62
08/06/2023 00:05:20.141,15.00
08/06/2023 00:05:23.185,14.37
08/06/2023 00:05:24.202,15.00
08/06/2023 00:05:26.248,15.62
08/06/2023 00:05:27.269,15.00
08/06/2023 00:05:43.531,14.37
08/06/2023 00:05:44.555,14.37
08/06/2023 00:05:46.591,15.62
08/06/2023 00:05:47.613,15.00
08/06/2023 00:05:50.652,14.37
08/06/2023 00:05:51.671,15.00
08/06/2023 00:05:54.701,15.62
08/06/2023 00:05:55.726,15.00
08/06/2023 00:06:06.947,14.37
08/06/2023 00:06:07.968,15.00
08/06/2023 00:06:13.057,15.62
08/06/2023 00:06:14.067,15.62
08/06/2023 00:06:20.178,14.37
08/06/2023 00:06:21.190,15.00
08/06/2023 00:06:25.281,15.62
08/06/2023 00:06:26.300,15.00
08/06/2023 00:06:34.478,14.37
08/06/2023 00:06:35.490,15.62
08/06/2023 00:06:36.501,15.00
08/06/2023 00:06:44.635,14.37
08/06/2023 00:06:45.644,15.62
08/06/2023 00:06:46.655,15.00
08/06/2023 00:07:03.938,14.37
08/06/2023 00:07:04.950,14.37
08/06/2023 00:07:05.962,15.62
08/06/2023 00:07:06.983,15.00
08/06/2023 00:07:09.015,14.37
08/06/2023 00:07:10.028,15.62
08/06/2023 00:07:11.036,14.37
08/06/2023 00:07:12.047,15.62
08/06/2023 00:07:13.066,14.37
08/06/2023 00:07:14.099,14.37
08/06/2023 00:07:19.206,15.62
08/06/2023 00:07:20.229,14.37
08/06/2023 00:07:21.259,14.37
08/06/2023 00:07:24.324,15.62
08/06/2023 00:07:25.341,15.62
08/06/2023 00:07:41.587,14.37
08/06/2023 00:07:42.613,15.62
08/06/2023 00:07:43.625,15.00
08/06/2023 00:07:45.673,14.37
08/06/2023 00:07:46.684,15.00
08/06/2023 00:07:47.719,16.25
08/06/2023 00:07:48.730,14.37
08/06/2023 00:07:49.740,14.37
08/06/2023 00:07:50.752,15.62
08/06/2023 00:07:51.764,15.00
08/06/2023 00:07:55.842,14.37
08/06/2023 00:07:56.853,15.00
08/06/2023 00:07:58.884,15.62
08/06/2023 00:07:59.908,14.37
08/06/2023 00:08:00.920,14.37
08/06/2023 00:08:03.963,15.62
08/06/2023 00:08:04.987,15.00
08/06/2023 00:08:11.084,14.37
08/06/2023 00:08:12.110,15.62
08/06/2023 00:08:13.119,15.00
08/06/2023 00:08:17.194,14.37
08/06/2023 00:08:18.215,14.37
08/06/2023 00:08:20.233,15.62
08/06/2023 00:08:21.256,15.00
08/06/2023 00:08:23.287,14.37
08/06/2023 00:08:24.296,15.62
08/06/2023 00:08:25.308,15.62
08/06/2023 00:08:26.331,14.37
08/06/2023 00:08:27.354,14.37
08/06/2023 00:08:28.380,15.62
08/06/2023 00:08:29.394,15.00
08/06/2023 00:08:39.555,13.75
08/06/2023 00:08:40.564,15.00
08/06/2023 00:08:41.584,15.00
08/06/2023 00:08:48.694,13.75
08/06/2023 00:08:49.719,15.62
08/06/2023 00:08:50.739,15.00
08/06/2023 00:08:57.865,14.37
08/06/2023 00:08:58.881,15.62
08/06/2023 00:08:59.902,15.00
08/06/2023 00:09:03.973,14.37
08/06/2023 00:09:04.981,15.62
08/06/2023 00:09:06.004,15.00
08/06/2023 00:09:07.028,16.25
08/06/2023 00:09:08.050,14.37
08/06/2023 00:09:09.069,14.37
08/06/2023 00:09:14.171,16.25
08/06/2023 00:09:15.180,16.25
08/06/2023 00:09:16.202,15.00
08/06/2023 00:09:17.226,15.00
08/06/2023 00:10:07.054,16.25
08/06/2023 00:10:08.075,15.00
08/06/2023 00:10:09.088,15.00
08/06/2023 00:10:16.236,16.25
08/06/2023 00:10:17.247,14.37
08/06/2023 00:10:18.266,15.62
08/06/2023 00:10:19.279,15.00
08/06/2023 00:10:21.314,14.37
08/06/2023 00:10:22.322,15.00
08/06/2023 00:10:24.353,15.62
08/06/2023 00:10:25.362,15.00
08/06/2023 00:10:26.374,13.75
08/06/2023 00:10:27.395,15.00
08/06/2023 00:10:28.421,15.62
08/06/2023 00:10:49.728,16.25
08/06/2023 00:10:50.738,15.62
08/06/2023 00:10:53.790,15.00
08/06/2023 00:10:54.812,15.00
08/06/2023 00:11:18.213,16.25
08/06/2023 00:11:19.231,15.00
08/06/2023 00:11:20.244,13.75
08/06/2023 00:11:21.269,15.62
08/06/2023 00:11:22.290,15.62
08/06/2023 00:11:30.382,14.37
08/06/2023 00:11:31.390,14.37
08/06/2023 00:11:32.401,15.62
08/06/2023 00:11:33.411,15.00
08/06/2023 00:11:40.515,14.37
08/06/2023 00:11:41.537,15.62
08/06/2023 00:11:42.551,15.62
08/06/2023 00:11:44.576,14.37
08/06/2023 00:11:45.588,14.37
08/06/2023 00:11:46.596,16.25
08/06/2023 00:11:47.612,16.25
08/06/2023 00:11:48.630,15.00
08/06/2023 00:11:49.657,15.00
08/06/2023 00:11:53.731,13.75
08/06/2023 00:11:54.754,15.62
08/06/2023 00:11:55.772,15.62
08/06/2023 00:11:58.832,14.37
08/06/2023 00:11:59.855,15.62
08/06/2023 00:12:00.865,16.25
08/06/2023 00:12:19.151,14.37
08/06/2023 00:12:20.173,15.00
08/06/2023 00:12:22.197,16.25
08/06/2023 00:12:23.209,15.62
08/06/2023 00:12:25.250,14.37
08/06/2023 00:12:26.266,15.00
08/06/2023 00:12:32.348,15.62
08/06/2023 00:12:33.367,15.00
08/06/2023 00:12:45.571,14.37
08/06/2023 00:12:46.595,15.00
08/06/2023 00:12:49.646,16.25
08/06/2023 00:12:50.667,14.37
08/06/2023 00:12:51.679,14.37
08/06/2023 00:12:53.728,15.62
08/06/2023 00:12:54.759,15.62
08/06/2023 00:13:03.902,14.37
08/06/2023 00:13:04.926,14.37
08/06/2023 00:13:06.959,15.62
08/06/2023 00:13:07.968,15.62
08/06/2023 00:13:09.995,13.75
08/06/2023 00:13:11.006,15.62
08/06/2023 00:13:12.028,15.00
08/06/2023 00:13:14.066,14.37
08/06/2023 00:13:15.095,14.37
08/06/2023 00:13:18.123,15.62
08/06/2023 00:13:19.154,14.37
08/06/2023 00:13:20.171,15.00
08/06/2023 00:13:23.221,15.62
08/06/2023 00:13:24.236,15.62
08/06/2023 00:13:25.258,14.37
08/06/2023 00:13:26.281,14.37
08/06/2023 00:13:29.310,15.62
08/06/2023 00:13:30.323,15.00
08/06/2023 00:13:31.337,13.75
08/06/2023 00:13:32.358,15.62
08/06/2023 00:13:33.367,15.62
08/06/2023 00:13:43.523,14.37
08/06/2023 00:13:44.546,14.37
08/06/2023 00:13:47.596,15.62
08/06/2023 00:13:48.606,15.00
08/06/2023 00:14:01.828,13.75
08/06/2023 00:14:02.845,13.75
08/06/2023 00:14:03.868,15.00
08/06/2023 00:14:04.878,14.37
08/06/2023 00:14:10.996,13.12
08/06/2023 00:14:12.008,15.00
08/06/2023 00:14:13.029,15.00
08/06/2023 00:14:22.218,13.75
08/06/2023 00:14:23.229,15.00
08/06/2023 00:14:24.263,14.37
08/06/2023 00:14:46.610,16.25
08/06/2023 00:14:47.619,15.00
08/06/2023 00:14:48.635,15.00
08/06/2023 00:14:56.757,16.25
08/06/2023 00:14:57.769,16.25
08/06/2023 00:14:59.790,15.00
08/06/2023 00:15:00.799,15.00
08/06/2023 00:15:21.127,16.25
08/06/2023 00:15:22.150,15.62
08/06/2023 00:15:23.171,14.37
08/06/2023 00:15:24.181,14.37
08/06/2023 00:15:25.204,15.62
