'EPIC SiO.PID.wOP Log File

'Date,SiO.PID.wOP
08/06/2023 00:00:01.276,9.800
08/06/2023 00:00:02.284,9.700
08/06/2023 00:00:03.291,9.700
08/06/2023 00:00:04.310,9.700
08/06/2023 00:00:05.321,9.800
08/06/2023 00:00:06.329,9.800
08/06/2023 00:00:07.340,9.800
08/06/2023 00:00:08.351,9.800
08/06/2023 00:00:09.370,9.800
08/06/2023 00:00:10.389,9.800
08/06/2023 00:00:11.410,9.700
08/06/2023 00:00:12.437,9.800
08/06/2023 00:00:13.454,9.800
08/06/2023 00:00:14.472,9.800
08/06/2023 00:00:15.493,9.800
08/06/2023 00:00:16.502,9.800
08/06/2023 00:00:17.514,9.700
08/06/2023 00:00:18.551,9.800
08/06/2023 00:00:19.567,9.800
08/06/2023 00:00:20.587,9.800
08/06/2023 00:00:21.605,9.700
08/06/2023 00:00:22.614,9.800
08/06/2023 00:00:23.637,9.700
08/06/2023 00:00:24.666,9.700
08/06/2023 00:00:25.681,9.800
08/06/2023 00:00:26.690,9.800
08/06/2023 00:00:27.698,9.800
08/06/2023 00:00:28.707,9.800
08/06/2023 00:00:29.715,9.700
08/06/2023 00:00:30.726,9.800
08/06/2023 00:00:31.740,9.800
08/06/2023 00:00:32.748,9.700
08/06/2023 00:00:33.759,9.800
08/06/2023 00:00:34.780,9.800
08/06/2023 00:00:35.788,9.700
08/06/2023 00:00:36.808,9.800
08/06/2023 00:00:37.827,9.800
08/06/2023 00:00:38.833,9.800
08/06/2023 00:00:39.842,9.800
08/06/2023 00:00:40.854,9.800
08/06/2023 00:00:41.871,9.700
08/06/2023 00:00:42.892,9.800
08/06/2023 00:00:43.903,9.700
08/06/2023 00:00:44.909,9.700
08/06/2023 00:00:45.930,9.800
08/06/2023 00:00:46.948,9.800
08/06/2023 00:00:47.968,9.800
08/06/2023 00:00:48.981,9.800
08/06/2023 00:00:49.994,9.700
08/06/2023 00:00:51.027,9.800
08/06/2023 00:00:52.044,9.800
08/06/2023 00:00:53.059,9.700
08/06/2023 00:00:54.072,9.800
08/06/2023 00:00:55.084,9.800
08/06/2023 00:00:56.097,9.800
08/06/2023 00:00:57.105,9.800
08/06/2023 00:00:58.112,9.800
08/06/2023 00:00:59.120,9.700
08/06/2023 00:01:00.142,9.800
08/06/2023 00:01:01.156,9.800
08/06/2023 00:01:02.184,9.800
08/06/2023 00:01:03.197,9.800
08/06/2023 00:01:04.208,9.800
08/06/2023 00:01:05.219,9.700
08/06/2023 00:01:06.229,9.800
08/06/2023 00:01:07.238,9.800
08/06/2023 00:01:08.257,9.800
08/06/2023 00:01:09.274,9.700
08/06/2023 00:01:10.285,9.700
08/06/2023 00:01:11.291,9.800
08/06/2023 00:01:12.302,9.800
08/06/2023 00:01:13.323,9.700
08/06/2023 00:01:14.331,9.800
08/06/2023 00:01:15.349,9.700
08/06/2023 00:01:16.358,9.700
08/06/2023 00:01:17.382,9.700
08/06/2023 00:01:18.401,9.800
08/06/2023 00:01:19.408,9.800
08/06/2023 00:01:20.419,9.700
08/06/2023 00:01:21.428,9.800
08/06/2023 00:01:22.441,9.700
08/06/2023 00:01:23.453,9.700
08/06/2023 00:01:24.460,9.800
08/06/2023 00:01:25.469,9.800
08/06/2023 00:01:26.480,9.800
08/06/2023 00:01:27.495,9.800
08/06/2023 00:01:28.514,9.800
08/06/2023 00:01:29.531,9.800
08/06/2023 00:01:30.557,9.800
08/06/2023 00:01:31.574,9.800
08/06/2023 00:01:32.581,9.800
08/06/2023 00:01:33.591,9.800
08/06/2023 00:01:34.598,9.800
08/06/2023 00:01:35.606,9.700
08/06/2023 00:01:36.616,9.700
08/06/2023 00:01:37.624,9.800
08/06/2023 00:01:38.644,9.800
08/06/2023 00:01:39.652,9.700
08/06/2023 00:01:40.662,9.800
08/06/2023 00:01:41.678,9.700
08/06/2023 00:01:42.687,9.800
08/06/2023 00:01:43.709,9.800
08/06/2023 00:01:44.733,9.800
08/06/2023 00:01:45.750,9.700
08/06/2023 00:01:46.772,9.800
08/06/2023 00:01:47.792,9.800
08/06/2023 00:01:48.802,9.700
08/06/2023 00:01:49.809,9.700
08/06/2023 00:01:50.828,9.700
08/06/2023 00:01:51.838,9.700
08/06/2023 00:01:52.860,9.700
08/06/2023 00:01:53.872,9.800
08/06/2023 00:01:54.881,9.800
08/06/2023 00:01:55.890,9.800
08/06/2023 00:01:56.898,9.800
08/06/2023 00:01:57.912,9.800
08/06/2023 00:01:58.920,9.800
08/06/2023 00:01:59.928,9.700
08/06/2023 00:02:00.941,9.800
08/06/2023 00:02:01.954,9.700
08/06/2023 00:02:02.965,9.700
08/06/2023 00:02:03.974,9.700
08/06/2023 00:02:04.984,9.700
08/06/2023 00:02:05.992,9.800
08/06/2023 00:02:07.005,9.800
08/06/2023 00:02:08.014,9.800
08/06/2023 00:02:09.023,9.800
08/06/2023 00:02:10.058,9.700
08/06/2023 00:02:11.069,9.800
08/06/2023 00:02:12.080,9.800
08/06/2023 00:02:13.088,9.800
08/06/2023 00:02:14.097,9.800
08/06/2023 00:02:15.123,9.800
08/06/2023 00:02:16.131,9.800
08/06/2023 00:02:17.140,9.800
08/06/2023 00:02:18.151,9.800
08/06/2023 00:02:19.158,9.800
08/06/2023 00:02:20.168,9.800
08/06/2023 00:02:21.189,9.800
08/06/2023 00:02:22.201,9.800
08/06/2023 00:02:23.221,9.800
08/06/2023 00:02:24.239,9.800
08/06/2023 00:02:25.260,9.800
08/06/2023 00:02:26.269,9.800
08/06/2023 00:02:27.287,9.800
08/06/2023 00:02:28.300,9.800
08/06/2023 00:02:29.322,9.800
08/06/2023 00:02:30.333,9.800
08/06/2023 00:02:31.343,9.700
08/06/2023 00:02:32.350,9.800
08/06/2023 00:02:33.372,9.800
08/06/2023 00:02:34.381,9.700
08/06/2023 00:02:35.393,9.700
08/06/2023 00:02:36.400,9.800
08/06/2023 00:02:37.409,9.800
08/06/2023 00:02:38.414,9.800
08/06/2023 00:02:39.426,9.800
08/06/2023 00:02:40.435,9.800
08/06/2023 00:02:41.460,9.800
08/06/2023 00:02:42.482,9.800
08/06/2023 00:02:43.501,9.700
08/06/2023 00:02:44.510,9.800
08/06/2023 00:02:45.517,9.800
08/06/2023 00:02:46.535,9.800
08/06/2023 00:02:47.557,9.800
08/06/2023 00:02:48.566,9.800
08/06/2023 00:02:49.575,9.800
08/06/2023 00:02:50.582,9.800
08/06/2023 00:02:51.595,9.800
08/06/2023 00:02:52.609,9.800
08/06/2023 00:02:53.631,9.800
08/06/2023 00:02:54.641,9.800
08/06/2023 00:02:55.651,9.700
08/06/2023 00:02:56.673,9.700
08/06/2023 00:02:57.683,9.800
08/06/2023 00:02:58.693,9.700
08/06/2023 00:02:59.715,9.700
08/06/2023 00:03:00.723,9.800
08/06/2023 00:03:01.746,9.700
08/06/2023 00:03:02.766,9.700
08/06/2023 00:03:03.775,9.700
08/06/2023 00:03:04.796,9.700
08/06/2023 00:03:05.807,9.700
08/06/2023 00:03:06.817,9.800
08/06/2023 00:03:07.829,9.700
08/06/2023 00:03:08.849,9.700
08/06/2023 00:03:09.872,9.700
08/06/2023 00:03:10.896,9.800
08/06/2023 00:03:11.908,9.800
08/06/2023 00:03:12.924,9.700
08/06/2023 00:03:13.938,9.700
08/06/2023 00:03:14.948,9.800
08/06/2023 00:03:15.971,9.800
08/06/2023 00:03:16.984,9.800
08/06/2023 00:03:18.004,9.700
08/06/2023 00:03:19.022,9.800
08/06/2023 00:03:20.044,9.800
08/06/2023 00:03:21.068,9.800
08/06/2023 00:03:22.082,9.800
08/06/2023 00:03:23.092,9.800
08/06/2023 00:03:24.114,9.800
08/06/2023 00:03:25.126,9.800
08/06/2023 00:03:26.146,9.800
08/06/2023 00:03:27.155,9.800
08/06/2023 00:03:28.174,9.800
08/06/2023 00:03:29.188,9.800
08/06/2023 00:03:30.210,9.700
08/06/2023 00:03:31.222,9.800
08/06/2023 00:03:32.245,9.800
08/06/2023 00:03:33.266,9.800
08/06/2023 00:03:34.278,9.800
08/06/2023 00:03:35.290,9.800
08/06/2023 00:03:36.305,9.700
08/06/2023 00:03:37.317,9.800
08/06/2023 00:03:38.342,9.800
08/06/2023 00:03:39.356,9.800
08/06/2023 00:03:40.385,9.700
08/06/2023 00:03:41.401,9.800
08/06/2023 00:03:42.431,9.800
08/06/2023 00:03:43.456,9.700
08/06/2023 00:03:44.472,9.800
08/06/2023 00:03:45.497,9.800
08/06/2023 00:03:46.519,9.700
08/06/2023 00:03:47.545,9.700
08/06/2023 00:03:48.557,9.700
08/06/2023 00:03:49.582,9.700
08/06/2023 00:03:50.591,9.700
08/06/2023 00:03:51.619,9.700
08/06/2023 00:03:52.643,9.700
08/06/2023 00:03:53.664,9.700
08/06/2023 00:03:54.687,9.700
08/06/2023 00:03:55.709,9.700
08/06/2023 00:03:56.719,9.700
08/06/2023 00:03:57.730,9.700
08/06/2023 00:03:58.739,9.700
08/06/2023 00:03:59.748,9.700
08/06/2023 00:04:00.772,9.700
08/06/2023 00:04:01.791,9.700
08/06/2023 00:04:02.804,9.700
08/06/2023 00:04:03.824,9.700
08/06/2023 00:04:04.847,9.700
08/06/2023 00:04:05.869,9.800
08/06/2023 00:04:06.880,9.700
08/06/2023 00:04:07.904,9.800
08/06/2023 00:04:08.912,9.700
08/06/2023 00:04:09.934,9.800
08/06/2023 00:04:10.943,9.800
08/06/2023 00:04:11.964,9.800
08/06/2023 00:04:12.976,9.800
08/06/2023 00:04:13.985,9.800
08/06/2023 00:04:14.994,9.800
08/06/2023 00:04:16.003,9.800
08/06/2023 00:04:17.011,9.800
08/06/2023 00:04:18.035,9.800
08/06/2023 00:04:19.043,9.800
08/06/2023 00:04:20.067,9.800
08/06/2023 00:04:21.081,9.800
08/06/2023 00:04:22.104,9.800
08/06/2023 00:04:23.120,9.800
08/06/2023 00:04:24.143,9.800
08/06/2023 00:04:25.176,9.800
08/06/2023 00:04:26.201,9.800
08/06/2023 00:04:27.224,9.800
08/06/2023 00:04:28.236,9.800
08/06/2023 00:04:29.258,9.800
08/06/2023 00:04:30.268,9.700
08/06/2023 00:04:31.279,9.800
08/06/2023 00:04:32.304,9.800
08/06/2023 00:04:33.313,9.800
08/06/2023 00:04:34.328,9.700
08/06/2023 00:04:35.342,9.800
08/06/2023 00:04:36.360,9.700
08/06/2023 00:04:37.378,9.700
08/06/2023 00:04:38.399,9.700
08/06/2023 00:04:39.411,9.800
08/06/2023 00:04:40.427,9.800
08/06/2023 00:04:41.450,9.800
08/06/2023 00:04:42.474,9.700
08/06/2023 00:04:43.494,9.700
08/06/2023 00:04:44.518,9.700
08/06/2023 00:04:45.527,9.700
08/06/2023 00:04:46.539,9.700
08/06/2023 00:04:47.568,9.700
08/06/2023 00:04:48.586,9.800
08/06/2023 00:04:49.599,9.800
08/06/2023 00:04:50.617,9.800
08/06/2023 00:04:51.633,9.800
08/06/2023 00:04:52.664,9.700
08/06/2023 00:04:53.675,9.800
08/06/2023 00:04:54.694,9.800
08/06/2023 00:04:55.704,9.800
08/06/2023 00:04:56.727,9.800
08/06/2023 00:04:57.750,9.800
08/06/2023 00:04:58.759,9.800
08/06/2023 00:04:59.774,9.700
08/06/2023 00:05:00.787,9.700
08/06/2023 00:05:01.812,9.700
08/06/2023 00:05:02.836,9.700
08/06/2023 00:05:03.859,9.700
08/06/2023 00:05:04.870,9.700
08/06/2023 00:05:05.882,9.700
08/06/2023 00:05:06.907,9.700
08/06/2023 00:05:07.918,9.700
08/06/2023 00:05:08.938,9.700
08/06/2023 00:05:09.960,9.700
08/06/2023 00:05:10.987,9.800
08/06/2023 00:05:12.009,9.800
08/06/2023 00:05:13.017,9.700
08/06/2023 00:05:14.028,9.700
08/06/2023 00:05:15.051,9.700
08/06/2023 00:05:16.076,9.800
08/06/2023 00:05:17.085,9.700
08/06/2023 00:05:18.109,9.700
08/06/2023 00:05:19.119,9.700
08/06/2023 00:05:20.138,9.800
08/06/2023 00:05:21.152,9.800
08/06/2023 00:05:22.167,9.700
08/06/2023 00:05:23.181,9.700
08/06/2023 00:05:24.198,9.700
08/06/2023 00:05:25.220,9.700
08/06/2023 00:05:26.245,9.800
08/06/2023 00:05:27.265,9.800
08/06/2023 00:05:28.278,9.800
08/06/2023 00:05:29.290,9.800
08/06/2023 00:05:30.301,9.700
08/06/2023 00:05:31.316,9.700
08/06/2023 00:05:32.330,9.700
08/06/2023 00:05:33.350,9.800
08/06/2023 00:05:34.385,9.700
08/06/2023 00:05:35.398,9.700
08/06/2023 00:05:36.412,9.700
08/06/2023 00:05:37.431,9.800
08/06/2023 00:05:38.444,9.700
08/06/2023 00:05:39.456,9.800
08/06/2023 00:05:40.465,9.800
08/06/2023 00:05:41.477,9.700
08/06/2023 00:05:42.519,9.700
08/06/2023 00:05:43.527,9.800
08/06/2023 00:05:44.552,9.800
08/06/2023 00:05:45.562,9.800
08/06/2023 00:05:46.588,9.700
08/06/2023 00:05:47.610,9.800
08/06/2023 00:05:48.620,9.700
08/06/2023 00:05:49.639,9.700
08/06/2023 00:05:50.649,9.700
08/06/2023 00:05:51.668,9.800
08/06/2023 00:05:52.677,9.700
08/06/2023 00:05:53.686,9.800
08/06/2023 00:05:54.697,9.800
08/06/2023 00:05:55.723,9.700
08/06/2023 00:05:56.749,9.700
08/06/2023 00:05:57.765,9.800
08/06/2023 00:05:58.774,9.700
08/06/2023 00:05:59.798,9.700
08/06/2023 00:06:00.814,9.700
08/06/2023 00:06:01.826,9.700
08/06/2023 00:06:02.834,9.700
08/06/2023 00:06:03.872,9.700
08/06/2023 00:06:04.894,9.800
08/06/2023 00:06:05.917,9.800
08/06/2023 00:06:06.944,9.800
08/06/2023 00:06:07.964,9.700
08/06/2023 00:06:08.979,9.700
08/06/2023 00:06:09.994,9.800
08/06/2023 00:06:11.018,9.800
08/06/2023 00:06:12.031,9.700
08/06/2023 00:06:13.053,9.700
08/06/2023 00:06:14.064,9.700
