'EPIC SnO.PID.wOP Log File

'Date,SnO.PID.wOP
08/06/2023 00:00:01.276,4.600
08/06/2023 00:00:02.284,4.500
08/06/2023 00:00:03.291,4.500
08/06/2023 00:00:04.310,4.500
08/06/2023 00:00:05.321,4.500
08/06/2023 00:00:06.329,4.600
08/06/2023 00:00:07.340,4.500
08/06/2023 00:00:08.351,4.600
08/06/2023 00:00:09.370,4.500
08/06/2023 00:00:10.389,4.500
08/06/2023 00:00:11.410,4.500
08/06/2023 00:00:12.437,4.500
08/06/2023 00:00:13.455,4.500
08/06/2023 00:00:14.473,4.500
08/06/2023 00:00:15.493,4.500
08/06/2023 00:00:16.502,4.500
08/06/2023 00:00:17.514,4.500
08/06/2023 00:00:18.551,4.500
08/06/2023 00:00:19.567,4.600
08/06/2023 00:00:20.587,4.500
08/06/2023 00:00:21.605,4.500
08/06/2023 00:00:22.614,4.500
08/06/2023 00:00:23.637,4.500
08/06/2023 00:00:24.666,4.600
08/06/2023 00:00:25.681,4.600
08/06/2023 00:00:26.690,4.500
08/06/2023 00:00:27.698,4.600
08/06/2023 00:00:28.708,4.600
08/06/2023 00:00:29.715,4.500
08/06/2023 00:00:30.727,4.600
08/06/2023 00:00:31.740,4.600
08/06/2023 00:00:32.748,4.600
08/06/2023 00:00:33.759,4.600
08/06/2023 00:00:34.780,4.500
08/06/2023 00:00:35.788,4.500
08/06/2023 00:00:36.808,4.500
08/06/2023 00:00:37.828,4.600
08/06/2023 00:00:38.833,4.600
08/06/2023 00:00:39.842,4.600
08/06/2023 00:00:40.854,4.600
08/06/2023 00:00:41.872,4.600
08/06/2023 00:00:42.892,4.600
08/06/2023 00:00:43.903,4.600
08/06/2023 00:00:44.909,4.500
08/06/2023 00:00:45.930,4.600
08/06/2023 00:00:46.949,4.600
08/06/2023 00:00:47.968,4.600
08/06/2023 00:00:48.981,4.600
08/06/2023 00:00:49.994,4.600
08/06/2023 00:00:51.027,4.600
08/06/2023 00:00:52.044,4.600
08/06/2023 00:00:53.059,4.600
08/06/2023 00:00:54.072,4.600
08/06/2023 00:00:55.084,4.600
08/06/2023 00:00:56.097,4.600
08/06/2023 00:00:57.105,4.600
08/06/2023 00:00:58.113,4.600
08/06/2023 00:00:59.121,4.600
08/06/2023 00:01:00.142,4.600
08/06/2023 00:01:01.156,4.600
08/06/2023 00:01:02.184,4.500
08/06/2023 00:01:03.197,4.600
08/06/2023 00:01:04.208,4.600
08/06/2023 00:01:05.219,4.600
08/06/2023 00:01:06.229,4.600
08/06/2023 00:01:07.238,4.600
08/06/2023 00:01:08.257,4.500
08/06/2023 00:01:09.275,4.600
08/06/2023 00:01:10.286,4.500
08/06/2023 00:01:11.292,4.600
08/06/2023 00:01:12.302,4.600
08/06/2023 00:01:13.323,4.600
08/06/2023 00:01:14.331,4.600
08/06/2023 00:01:15.349,4.500
08/06/2023 00:01:16.358,4.500
08/06/2023 00:01:17.382,4.600
08/06/2023 00:01:18.401,4.600
08/06/2023 00:01:19.408,4.600
08/06/2023 00:01:20.419,4.600
08/06/2023 00:01:21.428,4.600
08/06/2023 00:01:22.441,4.600
08/06/2023 00:01:23.453,4.500
08/06/2023 00:01:24.460,4.600
08/06/2023 00:01:25.469,4.500
08/06/2023 00:01:26.481,4.600
08/06/2023 00:01:27.495,4.500
08/06/2023 00:01:28.514,4.500
08/06/2023 00:01:29.532,4.500
08/06/2023 00:01:30.557,4.600
08/06/2023 00:01:31.574,4.600
08/06/2023 00:01:32.581,4.600
08/06/2023 00:01:33.592,4.500
08/06/2023 00:01:34.599,4.600
08/06/2023 00:01:35.607,4.600
08/06/2023 00:01:36.616,4.600
08/06/2023 00:01:37.625,4.600
08/06/2023 00:01:38.644,4.500
08/06/2023 00:01:39.652,4.600
08/06/2023 00:01:40.662,4.600
08/06/2023 00:01:41.678,4.600
08/06/2023 00:01:42.687,4.600
08/06/2023 00:01:43.709,4.600
08/06/2023 00:01:44.734,4.600
08/06/2023 00:01:45.750,4.600
08/06/2023 00:01:46.772,4.600
08/06/2023 00:01:47.792,4.600
08/06/2023 00:01:48.803,4.600
08/06/2023 00:01:49.809,4.600
08/06/2023 00:01:50.828,4.600
08/06/2023 00:01:51.838,4.600
08/06/2023 00:01:52.860,4.600
08/06/2023 00:01:53.872,4.600
08/06/2023 00:01:54.881,4.600
08/06/2023 00:01:55.890,4.600
08/06/2023 00:01:56.899,4.600
08/06/2023 00:01:57.912,4.600
08/06/2023 00:01:58.920,4.500
08/06/2023 00:01:59.928,4.600
08/06/2023 00:02:00.941,4.600
08/06/2023 00:02:01.954,4.600
08/06/2023 00:02:02.965,4.600
08/06/2023 00:02:03.974,4.600
08/06/2023 00:02:04.984,4.500
08/06/2023 00:02:05.993,4.600
08/06/2023 00:02:07.005,4.600
08/06/2023 00:02:08.014,4.600
08/06/2023 00:02:09.023,4.600
08/06/2023 00:02:10.058,4.600
08/06/2023 00:02:11.070,4.600
08/06/2023 00:02:12.080,4.600
08/06/2023 00:02:13.088,4.600
08/06/2023 00:02:14.098,4.600
08/06/2023 00:02:15.123,4.600
08/06/2023 00:02:16.131,4.600
08/06/2023 00:02:17.140,4.600
08/06/2023 00:02:18.151,4.500
08/06/2023 00:02:19.158,4.500
08/06/2023 00:02:20.168,4.600
08/06/2023 00:02:21.189,4.600
08/06/2023 00:02:22.202,4.500
08/06/2023 00:02:23.221,4.600
08/06/2023 00:02:24.239,4.500
08/06/2023 00:02:25.261,4.600
08/06/2023 00:02:26.269,4.600
