'EPIC Sub.PG.V Log File

'Date,Sub.PG.V
08/06/2023 00:00:01.277,7.115
08/06/2023 00:00:02.284,7.114
08/06/2023 00:00:03.292,7.070
08/06/2023 00:00:04.311,7.104
08/06/2023 00:00:05.321,7.094
08/06/2023 00:00:06.330,7.073
08/06/2023 00:00:07.341,7.086
08/06/2023 00:00:08.352,7.100
08/06/2023 00:00:09.371,7.116
08/06/2023 00:00:10.390,7.111
08/06/2023 00:00:11.411,7.100
08/06/2023 00:00:12.438,7.070
08/06/2023 00:00:13.455,7.079
08/06/2023 00:00:14.473,7.089
08/06/2023 00:00:15.494,7.091
08/06/2023 00:00:16.503,7.065
08/06/2023 00:00:17.515,7.086
08/06/2023 00:00:18.552,7.093
08/06/2023 00:00:19.568,7.105
08/06/2023 00:00:20.588,7.097
08/06/2023 00:00:21.606,7.115
08/06/2023 00:00:22.615,7.106
08/06/2023 00:00:23.638,7.106
08/06/2023 00:00:24.667,7.119
08/06/2023 00:00:25.682,7.102
08/06/2023 00:00:26.691,7.102
08/06/2023 00:00:27.699,7.067
08/06/2023 00:00:28.708,7.089
08/06/2023 00:00:29.716,7.080
08/06/2023 00:00:30.727,7.070
08/06/2023 00:00:31.741,7.097
08/06/2023 00:00:32.749,7.078
08/06/2023 00:00:33.759,7.078
08/06/2023 00:00:34.781,7.076
08/06/2023 00:00:35.789,7.083
08/06/2023 00:00:36.809,7.102
08/06/2023 00:00:37.828,7.091
08/06/2023 00:00:38.834,7.082
08/06/2023 00:00:39.843,7.079
08/06/2023 00:00:40.855,7.091
08/06/2023 00:00:41.872,7.084
08/06/2023 00:00:42.893,7.092
08/06/2023 00:00:43.904,7.103
08/06/2023 00:00:44.910,7.096
08/06/2023 00:00:45.931,7.098
08/06/2023 00:00:46.949,7.098
08/06/2023 00:00:47.969,7.099
08/06/2023 00:00:48.982,7.103
08/06/2023 00:00:49.995,7.073
08/06/2023 00:00:51.028,7.080
08/06/2023 00:00:52.045,7.053
08/06/2023 00:00:53.060,7.097
08/06/2023 00:00:54.073,7.076
08/06/2023 00:00:55.085,7.077
08/06/2023 00:00:56.098,7.074
08/06/2023 00:00:57.106,7.104
08/06/2023 00:00:58.113,7.094
08/06/2023 00:00:59.121,7.070
08/06/2023 00:01:00.143,7.074
08/06/2023 00:01:01.157,7.061
08/06/2023 00:01:02.185,7.098
08/06/2023 00:01:03.198,7.115
08/06/2023 00:01:04.209,7.086
08/06/2023 00:01:05.220,7.106
08/06/2023 00:01:06.230,7.113
08/06/2023 00:01:07.239,7.080
08/06/2023 00:01:08.258,7.095
08/06/2023 00:01:09.275,7.107
08/06/2023 00:01:10.286,7.085
08/06/2023 00:01:11.292,7.095
08/06/2023 00:01:12.303,7.073
08/06/2023 00:01:13.324,7.072
08/06/2023 00:01:14.331,7.099
08/06/2023 00:01:15.350,7.115
08/06/2023 00:01:16.359,7.088
08/06/2023 00:01:17.383,7.075
08/06/2023 00:01:18.401,7.109
08/06/2023 00:01:19.409,7.122
08/06/2023 00:01:20.420,7.127
08/06/2023 00:01:21.429,7.117
08/06/2023 00:01:22.442,7.101
08/06/2023 00:01:23.454,7.095
08/06/2023 00:01:24.460,7.062
08/06/2023 00:01:25.470,7.114
08/06/2023 00:01:26.481,7.124
08/06/2023 00:01:27.496,7.119
08/06/2023 00:01:28.514,7.097
08/06/2023 00:01:29.532,7.095
08/06/2023 00:01:30.558,7.096
08/06/2023 00:01:31.575,7.104
08/06/2023 00:01:32.582,7.101
08/06/2023 00:01:33.592,7.120
08/06/2023 00:01:34.599,7.088
08/06/2023 00:01:35.607,7.062
08/06/2023 00:01:36.617,7.101
08/06/2023 00:01:37.625,7.092
08/06/2023 00:01:38.645,7.125
08/06/2023 00:01:39.652,7.095
08/06/2023 00:01:40.663,7.102
08/06/2023 00:01:41.679,7.114
08/06/2023 00:01:42.688,7.096
08/06/2023 00:01:43.709,7.088
08/06/2023 00:01:44.734,7.092
08/06/2023 00:01:45.751,7.096
08/06/2023 00:01:46.773,7.110
08/06/2023 00:01:47.793,7.084
08/06/2023 00:01:48.803,7.109
08/06/2023 00:01:49.810,7.107
08/06/2023 00:01:50.828,7.098
08/06/2023 00:01:51.838,7.111
08/06/2023 00:01:52.861,7.101
08/06/2023 00:01:53.873,7.113
08/06/2023 00:01:54.882,7.114
08/06/2023 00:01:55.891,7.106
08/06/2023 00:01:56.899,7.128
08/06/2023 00:01:57.913,7.108
08/06/2023 00:01:58.921,7.105
08/06/2023 00:01:59.929,7.105
08/06/2023 00:02:00.942,7.101
08/06/2023 00:02:01.955,7.099
08/06/2023 00:02:02.966,7.122
08/06/2023 00:02:03.975,7.110
08/06/2023 00:02:04.985,7.104
08/06/2023 00:02:05.993,7.125
08/06/2023 00:02:07.006,7.105
08/06/2023 00:02:08.015,7.104
08/06/2023 00:02:09.024,7.107
08/06/2023 00:02:10.059,7.081
08/06/2023 00:02:11.070,7.111
08/06/2023 00:02:12.081,7.118
08/06/2023 00:02:13.089,7.119
08/06/2023 00:02:14.098,7.136
08/06/2023 00:02:15.123,7.099
08/06/2023 00:02:16.132,7.107
08/06/2023 00:02:17.141,7.127
08/06/2023 00:02:18.152,7.084
08/06/2023 00:02:19.159,7.106
08/06/2023 00:02:20.169,7.128
08/06/2023 00:02:21.190,7.107
08/06/2023 00:02:22.202,7.107
08/06/2023 00:02:23.221,7.111
08/06/2023 00:02:24.240,7.103
08/06/2023 00:02:25.261,7.097
08/06/2023 00:02:26.269,7.080
08/06/2023 00:02:27.291,7.105
08/06/2023 00:02:28.302,7.088
08/06/2023 00:02:29.323,7.110
08/06/2023 00:02:30.334,7.132
08/06/2023 00:02:31.343,7.114
08/06/2023 00:02:32.351,7.128
08/06/2023 00:02:33.373,7.109
08/06/2023 00:02:34.382,7.131
08/06/2023 00:02:35.394,7.102
08/06/2023 00:02:36.401,7.112
08/06/2023 00:02:37.410,7.115
08/06/2023 00:02:38.415,7.142
08/06/2023 00:02:39.427,7.118
08/06/2023 00:02:40.436,7.124
08/06/2023 00:02:41.461,7.113
08/06/2023 00:02:42.483,7.110
08/06/2023 00:02:43.502,7.132
08/06/2023 00:02:44.511,7.128
08/06/2023 00:02:45.518,7.106
08/06/2023 00:02:46.536,7.107
08/06/2023 00:02:47.558,7.116
08/06/2023 00:02:48.567,7.112
08/06/2023 00:02:49.576,7.090
08/06/2023 00:02:50.583,7.123
08/06/2023 00:02:51.596,7.099
08/06/2023 00:02:52.610,7.118
08/06/2023 00:02:53.633,7.131
08/06/2023 00:02:54.642,7.110
08/06/2023 00:02:55.652,7.120
08/06/2023 00:02:56.675,7.112
08/06/2023 00:02:57.684,7.115
08/06/2023 00:02:58.695,7.132
08/06/2023 00:02:59.717,7.108
08/06/2023 00:03:00.724,7.118
08/06/2023 00:03:01.748,7.118
08/06/2023 00:03:02.767,7.132
08/06/2023 00:03:03.777,7.111
08/06/2023 00:03:04.797,7.117
08/06/2023 00:03:05.808,7.113
08/06/2023 00:03:06.819,7.123
08/06/2023 00:03:07.830,7.094
08/06/2023 00:03:08.850,7.108
08/06/2023 00:03:09.874,7.121
08/06/2023 00:03:10.897,7.125
08/06/2023 00:03:11.909,7.108
08/06/2023 00:03:12.926,7.105
08/06/2023 00:03:13.940,7.090
08/06/2023 00:03:14.950,7.107
08/06/2023 00:03:15.972,7.119
08/06/2023 00:03:16.986,7.116
08/06/2023 00:03:18.006,7.091
08/06/2023 00:03:19.023,7.125
08/06/2023 00:03:20.046,7.118
08/06/2023 00:03:21.069,7.122
08/06/2023 00:03:22.084,7.119
08/06/2023 00:03:23.093,7.122
08/06/2023 00:03:24.116,7.107
08/06/2023 00:03:25.127,7.118
08/06/2023 00:03:26.147,7.102
08/06/2023 00:03:27.157,7.114
08/06/2023 00:03:28.176,7.119
08/06/2023 00:03:29.190,7.100
08/06/2023 00:03:30.212,7.118
08/06/2023 00:03:31.223,7.091
08/06/2023 00:03:32.247,7.150
08/06/2023 00:03:33.267,7.124
08/06/2023 00:03:34.280,7.109
08/06/2023 00:03:35.291,7.122
08/06/2023 00:03:36.307,7.082
08/06/2023 00:03:37.321,7.130
08/06/2023 00:03:38.343,7.116
08/06/2023 00:03:39.357,7.127
08/06/2023 00:03:40.387,7.113
08/06/2023 00:03:41.402,7.117
08/06/2023 00:03:42.433,7.099
08/06/2023 00:03:43.457,7.138
08/06/2023 00:03:44.474,7.123
08/06/2023 00:03:45.498,7.119
08/06/2023 00:03:46.520,7.128
08/06/2023 00:03:47.546,7.135
08/06/2023 00:03:48.559,7.122
08/06/2023 00:03:49.584,7.113
08/06/2023 00:03:50.595,7.124
08/06/2023 00:03:51.620,7.132
08/06/2023 00:03:52.644,7.113
08/06/2023 00:03:53.666,7.117
08/06/2023 00:03:54.689,7.122
08/06/2023 00:03:55.711,7.127
08/06/2023 00:03:56.721,7.123
08/06/2023 00:03:57.731,7.131
08/06/2023 00:03:58.740,7.149
08/06/2023 00:03:59.750,7.133
08/06/2023 00:04:00.773,7.122
08/06/2023 00:04:01.793,7.103
08/06/2023 00:04:02.806,7.134
08/06/2023 00:04:03.825,7.130
08/06/2023 00:04:04.848,7.132
08/06/2023 00:04:05.871,7.095
08/06/2023 00:04:06.882,7.111
08/06/2023 00:04:07.905,7.128
08/06/2023 00:04:08.914,7.125
08/06/2023 00:04:09.936,7.119
08/06/2023 00:04:10.944,7.139
08/06/2023 00:04:11.965,7.127
08/06/2023 00:04:12.977,7.111
08/06/2023 00:04:13.986,7.130
08/06/2023 00:04:14.996,7.117
08/06/2023 00:04:16.004,7.094
08/06/2023 00:04:17.013,7.105
08/06/2023 00:04:18.036,7.131
08/06/2023 00:04:19.045,7.135
08/06/2023 00:04:20.069,7.140
08/06/2023 00:04:21.082,7.119
08/06/2023 00:04:22.105,7.117
08/06/2023 00:04:23.121,7.138
08/06/2023 00:04:24.144,7.124
08/06/2023 00:04:25.178,7.135
08/06/2023 00:04:26.202,7.129
08/06/2023 00:04:27.226,7.116
08/06/2023 00:04:28.237,7.110
08/06/2023 00:04:29.259,7.124
08/06/2023 00:04:30.269,7.126
08/06/2023 00:04:31.280,7.105
08/06/2023 00:04:32.305,7.102
08/06/2023 00:04:33.314,7.109
08/06/2023 00:04:34.330,7.132
08/06/2023 00:04:35.344,7.110
08/06/2023 00:04:36.361,7.116
08/06/2023 00:04:37.379,7.131
08/06/2023 00:04:38.400,7.134
08/06/2023 00:04:39.412,7.110
08/06/2023 00:04:40.429,7.128
08/06/2023 00:04:41.453,7.101
08/06/2023 00:04:42.475,7.118
08/06/2023 00:04:43.496,7.129
08/06/2023 00:04:44.520,7.135
08/06/2023 00:04:45.529,7.110
08/06/2023 00:04:46.541,7.094
08/06/2023 00:04:47.570,7.119
08/06/2023 00:04:48.587,7.127
08/06/2023 00:04:49.601,7.122
08/06/2023 00:04:50.619,7.133
08/06/2023 00:04:51.637,7.120
08/06/2023 00:04:52.665,7.118
08/06/2023 00:04:53.677,7.141
08/06/2023 00:04:54.695,7.122
08/06/2023 00:04:55.705,7.146
08/06/2023 00:04:56.729,7.121
08/06/2023 00:04:57.751,7.132
08/06/2023 00:04:58.761,7.124
08/06/2023 00:04:59.776,7.118
08/06/2023 00:05:00.788,7.131
08/06/2023 00:05:01.813,7.086
08/06/2023 00:05:02.837,7.110
08/06/2023 00:05:03.860,7.137
08/06/2023 00:05:04.872,7.140
08/06/2023 00:05:05.883,7.125
08/06/2023 00:05:06.908,7.130
08/06/2023 00:05:07.920,7.146
08/06/2023 00:05:08.939,7.141
08/06/2023 00:05:09.961,7.125
08/06/2023 00:05:10.988,7.133
08/06/2023 00:05:12.010,7.101
08/06/2023 00:05:13.019,7.109
08/06/2023 00:05:14.029,7.105
08/06/2023 00:05:15.053,7.136
08/06/2023 00:05:16.078,7.112
08/06/2023 00:05:17.087,7.090
08/06/2023 00:05:18.111,7.128
08/06/2023 00:05:19.121,7.132
08/06/2023 00:05:20.140,7.157
08/06/2023 00:05:21.153,7.114
08/06/2023 00:05:22.169,7.131
08/06/2023 00:05:23.183,7.136
08/06/2023 00:05:24.200,7.130
08/06/2023 00:05:25.221,7.124
08/06/2023 00:05:26.246,7.132
08/06/2023 00:05:27.267,7.117
08/06/2023 00:05:28.280,7.125
08/06/2023 00:05:29.292,7.152
08/06/2023 00:05:30.303,7.125
08/06/2023 00:05:31.318,7.112
08/06/2023 00:05:32.331,7.132
08/06/2023 00:05:33.351,7.104
08/06/2023 00:05:34.386,7.116
08/06/2023 00:05:35.399,7.126
08/06/2023 00:05:36.414,7.129
08/06/2023 00:05:37.433,7.132
08/06/2023 00:05:38.445,7.113
08/06/2023 00:05:39.458,7.125
08/06/2023 00:05:40.466,7.139
08/06/2023 00:05:41.479,7.132
08/06/2023 00:05:42.520,7.145
08/06/2023 00:05:43.529,7.117
08/06/2023 00:05:44.553,7.118
08/06/2023 00:05:45.564,7.116
08/06/2023 00:05:46.589,7.119
08/06/2023 00:05:47.611,7.114
08/06/2023 00:05:48.621,7.122
08/06/2023 00:05:49.640,7.098
08/06/2023 00:05:50.650,7.123
08/06/2023 00:05:51.669,7.125
08/06/2023 00:05:52.679,7.115
08/06/2023 00:05:53.687,7.105
08/06/2023 00:05:54.699,7.118
08/06/2023 00:05:55.724,7.112
08/06/2023 00:05:56.750,7.139
08/06/2023 00:05:57.767,7.104
08/06/2023 00:05:58.776,7.130
08/06/2023 00:05:59.800,7.120
08/06/2023 00:06:00.815,7.105
